wavelength_nm,counts
218.821,868
219.350,868
219.878,1454
220.407,879
220.935,860
221.463,896
221.991,862
222.519,866
223.047,868
223.574,926
224.102,883
224.630,937
225.157,909
225.684,908
226.211,898
226.738,932
227.265,944
227.792,952
228.319,905
228.845,939
229.372,968
229.898,943
230.425,952
230.951,956
231.477,999
232.003,912
232.529,914
233.054,955
233.580,929
234.105,973
234.631,952
235.156,962
235.681,1020
236.206,980
236.731,958
237.256,959
237.781,946
238.305,1017
238.830,965
239.354,955
239.879,993
240.403,986
240.927,918
241.451,1006
241.975,986
242.498,984
243.022,984
243.545,975
244.069,946
244.592,1006
245.115,971
245.638,993
246.161,964
246.684,983
247.207,974
247.729,978
248.252,1003
248.774,972
249.296,957
249.819,949
250.341,970
250.863,995
251.384,1002
251.906,1007
252.428,929
252.949,971
253.471,999
253.992,966
254.513,965
255.034,953
255.555,986
256.076,986
256.597,977
257.117,1017
257.638,931
258.158,975
258.678,944
259.198,982
259.718,979
260.238,972
260.758,989
261.278,936
261.798,980
262.317,934
262.836,974
263.356,1001
263.875,991
264.394,1013
264.913,1001
265.432,1001
265.950,930
266.469,971
266.987,922
267.506,936
268.024,980
268.542,976
269.060,993
269.578,962
270.096,1025
270.614,986
271.131,968
271.649,900
272.166,982
272.683,902
273.200,953
273.717,960
274.234,963
274.751,980
275.268,971
275.784,975
276.301,963
276.817,959
277.334,973
277.850,925
278.366,956
278.882,950
279.397,1005
279.913,977
280.429,980
280.944,952
281.460,952
281.975,963
282.490,981
283.005,994
283.520,1008
284.035,1013
284.549,1023
285.064,916
285.578,913
286.093,956
286.607,946
287.121,1009
287.635,958
288.149,964
288.663,944
289.176,966
289.690,929
290.203,915
290.717,991
291.230,1004
291.743,922
292.256,991
292.769,965
293.282,989
293.794,987
294.307,938
294.819,1004
295.332,996
295.844,974
296.356,987
296.868,992
297.380,984
297.892,973
298.403,968
298.915,1025
299.426,1004
299.938,955
300.449,955
300.960,960
301.471,985
301.982,955
302.492,962
303.003,1001
303.514,991
304.024,996
304.534,983
305.045,971
305.555,954
306.065,993
306.575,1014
307.084,996
307.594,1018
308.103,983
308.613,939
309.122,1006
309.631,1006
310.140,1011
310.649,956
311.158,914
311.667,946
312.176,1003
312.684,998
313.192,1003
313.701,982
314.209,933
314.717,964
315.225,959
315.733,1010
316.240,961
316.748,962
317.256,997
317.763,981
318.270,953
318.777,933
319.284,983
319.791,999
320.298,1033
320.805,1020
321.311,964
321.818,961
322.324,947
322.831,984
323.337,947
323.843,981
324.349,1011
324.854,956
325.360,984
325.866,1011
326.371,971
326.877,1042
327.382,1007
327.887,1022
328.392,967
328.897,967
329.402,972
329.906,973
330.411,974
330.915,938
331.420,1030
331.924,958
332.428,986
332.932,931
333.436,1043
333.940,954
334.443,965
334.947,1019
335.450,976
335.954,959
336.457,936
