wavelength_nm,counts
218.821,918
219.350,918
219.878,1423
220.407,879
220.935,924
221.463,941
221.991,863
222.519,878
223.047,906
223.574,883
224.102,845
224.630,887
225.157,945
225.684,850
226.211,883
226.738,872
227.265,927
227.792,993
228.319,989
228.845,906
229.372,960
229.898,938
230.425,891
230.951,940
231.477,946
232.003,915
232.529,950
233.054,950
233.580,944
234.105,977
234.631,975
235.156,947
235.681,932
236.206,948
236.731,914
237.256,930
237.781,959
238.305,987
238.830,955
239.354,984
239.879,971
240.403,897
240.927,1004
241.451,983
241.975,893
242.498,986
243.022,940
243.545,978
244.069,972
244.592,956
245.115,984
245.638,926
246.161,957
246.684,945
247.207,965
247.729,985
248.252,1009
248.774,949
249.296,952
249.819,986
250.341,978
250.863,918
251.384,986
251.906,1001
252.428,1004
252.949,1001
253.471,967
253.992,1001
254.513,966
255.034,933
255.555,956
256.076,918
256.597,934
257.117,951
257.638,960
258.158,949
258.678,960
259.198,890
259.718,969
260.238,996
260.758,960
261.278,956
261.798,977
262.317,984
262.836,994
263.356,993
263.875,977
264.394,971
264.913,999
265.432,977
265.950,946
266.469,959
266.987,1003
267.506,947
268.024,991
268.542,943
269.060,976
269.578,967
270.096,949
270.614,983
271.131,953
271.649,963
272.166,953
272.683,962
273.200,1001
273.717,950
274.234,994
274.751,967
275.268,1001
275.784,958
276.301,975
276.817,977
277.334,983
277.850,933
278.366,944
278.882,936
279.397,937
279.913,984
280.429,988
280.944,948
281.460,953
281.975,970
282.490,984
283.005,981
283.520,948
284.035,947
284.549,1018
285.064,962
285.578,912
286.093,908
286.607,970
287.121,954
287.635,952
288.149,927
288.663,984
289.176,949
289.690,937
290.203,982
290.717,951
291.230,951
291.743,939
292.256,996
292.769,950
293.282,963
293.794,983
294.307,987
294.819,997
295.332,1017
295.844,978
296.356,983
296.868,993
297.380,945
297.892,973
298.403,992
298.915,1021
299.426,1000
299.938,953
300.449,986
300.960,958
301.471,959
301.982,956
302.492,953
303.003,997
303.514,1003
304.024,982
304.534,964
305.045,975
305.555,952
306.065,943
306.575,986
307.084,958
307.594,970
308.103,950
308.613,1008
309.122,938
309.631,986
310.140,1027
310.649,954
311.158,956
311.667,1002
312.176,968
312.684,945
313.192,984
313.701,1014
314.209,1019
314.717,947
315.225,928
315.733,927
316.240,957
316.748,970
317.256,944
317.763,984
318.270,970
318.777,994
319.284,946
319.791,948
320.298,930
320.805,967
321.311,1000
321.818,947
322.324,972
322.831,1010
323.337,962
323.843,990
324.349,965
324.854,957
325.360,986
325.866,1024
326.371,1000
326.877,1037
327.382,1009
327.887,996
328.392,989
328.897,969
329.402,979
329.906,973
330.411,957
330.915,978
331.420,966
331.924,968
332.428,951
332.932,957
333.436,958
333.940,892
334.443,920
334.947,935
335.450,987
335.954,954
336.457,979
336.960,957
337.463,982
337.966,941
338.469,997
338.971,1040
339.474,1000
339.976,973
340.478,951
340.981,1037
341.483,965
341.985,972
342.486,926
342.988,972
343.490,935
343.991,909
344.493,1023
344.994,938
345.495,947
345.996,957
346.497,1233
346.998,962
347.499,994
347.999,989
348.500,999
349.000,1011
349.501,1007
350.001,932
350.501,980
351.001,944
351.500,962
352.000,978
352.500,964
352.999,977
353.499,963
353.998,966
354.497,991
354.996,968
355.495,1043
355.994,978
356.492,931
356.991,975
357.489,934
357.988,1022
358.486,971
358.984,949
359.482,995
359.980,961
360.478,993
360.975,972
361.473,989
361.970,1028
362.468,961
362.965,1011
363.462,990
363.959,992
364.456,992
364.953,956
365.449,1027
365.946,1048
366.442,996
366.939,1014
367.435,983
367.931,979
368.427,997
368.923,980
369.418,978
369.914,1010
370.409,1007
370.905,944
371.400,1011
371.895,1043
372.390,1023
372.885,983
373.380,1005
373.875,983
374.369,1068
374.864,976
375.358,1022
375.852,1016
376.347,1013
376.841,1040
377.335,1021
377.828,1078
378.322,1002
378.816,983
379.309,1027
379.802,1031
380.296,1094
380.789,1056
381.282,1049
381.775,1102
382.267,1085
382.760,1088
383.253,1116
383.745,1048
384.237,1060
384.730,1141
385.222,1088
385.714,1088
386.205,1149
386.697,1091
387.189,1135
387.680,1154
388.172,1178
388.663,1129
389.154,1138
389.645,1248
390.136,1158
390.627,1194
391.118,1203
391.608,1195
392.099,1155
392.589,1231
393.080,1264
393.570,1188
394.060,1234
394.550,1228
395.040,1256
395.529,1227
396.019,1279
396.508,1339
396.998,1357
397.487,1313
397.976,1289
398.465,1344
398.954,1323
399.443,1365
399.931,1380
400.420,1414
400.908,1395
401.397,1386
401.885,1417
402.373,1395
402.861,1463
403.349,1401
403.837,1476
404.324,1464
404.812,1516
405.299,1491
405.786,1517
406.274,1521
406.761,1538
407.248,1583
407.734,1536
408.221,1583
408.708,1664
409.194,1568
409.681,1681
410.167,1674
410.653,1675
411.139,1690
411.625,1700
412.111,1730
412.597,1724
413.082,1780
413.568,1766
414.053,1777
414.538,1778
415.023,1785
415.508,1834
415.993,1909
416.478,1927
416.963,1902
417.447,1903
417.932,1846
418.416,1982
418.900,1958
419.384,2011
419.868,2032
420.352,1994
420.836,2030
421.319,2087
421.803,2042
422.286,2057
422.770,2124
423.253,2127
423.736,2116
424.219,2186
424.702,2204
425.184,2219
425.667,2256
426.149,2197
426.632,2237
427.114,2265
427.596,2331
428.078,2444
428.560,2370
429.042,2382
429.524,2356
430.005,2424
430.487,2458
430.968,2430
431.449,2451
431.930,2521
432.411,2575
432.892,2504
433.373,2624
433.854,2557
434.334,2549
434.814,2577
435.295,2643
435.775,2699
436.255,2712
436.735,2691
437.215,2678
437.695,2783
438.174,2794
438.654,2808
439.133,2899
439.612,2884
440.091,2914
440.571,2879
441.049,2951
441.528,3027
442.007,3003
442.486,3096
442.964,3031
443.442,3076
443.921,3104
444.399,3181
444.877,3204
445.355,3192
445.832,3236
446.310,3285
446.788,3335
447.265,3262
447.742,3362
448.219,3432
448.697,3400
449.173,3479
449.650,3497
450.127,3597
450.604,3575
451.080,3583
451.557,3633
452.033,3641
452.509,3727
452.985,3656
453.461,3643
453.937,3635
454.412,3803
454.888,3846
455.363,3816
455.839,3902
456.314,4003
456.789,4002
457.264,3957
457.739,3972
458.214,4042
458.689,4090
459.163,4021
459.637,4107
460.112,4123
460.586,4159
461.060,4166
461.534,4248
462.008,4289
462.482,4328
462.955,4343
463.429,4362
463.902,4431
464.375,4412
464.849,4536
465.322,4480
465.794,4628
466.267,4664
466.740,4729
467.213,4729
467.685,4751
468.157,4779
468.630,4972
469.102,4962
469.574,5049
470.046,5055
470.517,5170
470.989,5191
471.461,5243
471.932,5301
472.403,5495
472.874,5477
473.346,5657
473.816,5686
474.287,5651
474.758,5889
475.229,5965
475.699,5945
476.170,6193
476.640,6201
477.110,6402
477.580,6508
478.050,6631
478.520,6846
478.989,6833
479.459,6907
479.928,6980
480.398,7130
480.867,7202
481.336,7342
481.805,7603
482.274,7671
482.743,7704
483.211,7697
483.680,7997
484.148,8097
484.617,8190
485.085,8269
485.553,8502
486.021,8717
486.489,8673
486.956,8851
487.424,9026
487.891,8903
488.359,9174
488.826,9156
489.293,9412
489.760,9566
490.227,9619
490.694,9723
491.160,9728
491.627,9953
492.093,10043
492.560,10139
493.026,10085
493.492,10401
493.958,10407
494.424,10416
494.890,10453
495.355,10594
495.821,10817
496.286,10687
496.751,10943
497.216,10957
497.682,11008
498.146,11207
498.611,11135
499.076,11191
499.541,11321
500.005,11561
500.469,11468
500.934,11609
501.398,11834
501.862,11709
502.326,11813
502.789,11952
503.253,11945
503.716,12205
504.180,11992
504.643,11920
505.106,12344
505.569,12387
506.032,12489
506.495,12420
506.958,12494
507.420,12696
507.883,12827
508.345,12829
508.808,13093
509.270,12860
509.732,13062
510.194,13287
510.655,13342
511.117,13412
511.579,13382
512.040,13370
512.501,13510
512.963,13666
513.424,13872
513.885,13778
514.345,13887
514.806,13820
515.267,14122
515.727,14252
516.188,14315
516.648,14497
517.108,14538
517.568,14428
518.028,14648
518.488,14709
518.947,14780
519.407,14710
519.866,15087
520.326,15071
520.785,15033
521.244,15181
521.703,15186
522.162,15290
522.621,15382
523.079,15621
523.538,15512
523.996,15585
524.455,15515
524.913,15765
525.371,15715
525.829,15848
526.286,15764
526.744,15969
527.202,15996
527.659,15949
528.117,16064
528.574,16206
529.031,16078
529.488,16238
529.945,16287
530.402,16070
530.858,16190
531.315,16329
531.771,16421
532.227,16373
532.684,16326
533.140,16531
533.596,16347
534.051,16650
534.507,16454
534.963,16586
535.418,16873
535.873,16743
536.329,16619
536.784,16789
537.239,16485
537.694,16832
538.148,16793
538.603,16915
539.058,16922
539.512,17044
539.966,17004
540.421,17049
540.875,16967
541.329,17267
541.782,17231
542.236,17266
542.690,17197
543.143,17474
543.597,17292
544.050,17584
544.503,17333
544.956,17594
545.409,17462
545.862,17587
546.314,17609
546.767,17750
547.219,17731
547.672,17820
548.124,18047
548.576,17940
549.028,18056
549.480,18179
549.931,18319
550.383,18255
550.834,18289
551.286,18421
551.737,18303
552.188,18474
552.639,18707
553.090,18771
553.541,18794
553.992,18837
554.442,19116
554.893,19063
555.343,19069
555.793,19118
556.243,19243
556.693,19262
557.143,19400
557.593,19348
558.042,19536
558.492,19571
558.941,19582
559.390,19720
559.839,19721
560.288,19628
560.737,20032
561.186,19862
561.635,19937
562.083,20061
562.532,20287
562.980,20031
563.428,20280
563.876,20182
564.324,20377
564.772,20367
565.220,20275
565.667,20335
566.115,20342
566.562,20367
567.010,20452
567.457,20434
567.904,20625
568.351,20772
568.797,20626
569.244,20617
569.691,20547
570.137,20525
570.583,20762
571.030,20799
571.476,20919
571.922,20786
572.367,20856
572.813,20881
573.259,20630
573.704,20732
574.150,20689
574.595,20820
575.040,20606
575.485,20636
575.930,20658
576.375,20794
576.819,20908
577.264,21003
577.708,20603
578.153,20732
578.597,20842
579.041,20776
579.485,20713
579.929,20714
580.372,20808
580.816,20624
581.259,20484
581.703,20647
582.146,20686
582.589,20697
583.032,20846
583.475,20744
583.918,20728
584.360,20897
584.803,20886
585.245,20673
585.688,20840
586.130,20713
586.572,20899
587.014,20719
587.456,20920
587.897,20849
588.339,20759
588.780,21071
589.222,21082
589.663,20770
590.104,21028
590.545,20981
590.986,20972
591.427,20995
591.867,21118
592.308,21193
592.748,21099
593.189,21162
593.629,21174
594.069,21101
594.509,21127
594.949,21292
595.388,21163
595.828,21125
596.267,21365
596.707,21261
597.146,21170
597.585,21390
598.024,21468
598.463,21462
598.902,21349
599.340,21417
599.779,21415
600.217,21350
600.655,21601
601.093,21512
601.532,21629
601.969,21714
602.407,21402
602.845,21360
603.282,21691
603.720,21578
604.157,21958
604.594,21639
605.032,21863
605.468,21636
605.905,21592
606.342,21663
606.779,21671
607.215,21674
607.652,21622
608.088,21386
608.524,21694
608.960,21611
609.396,21691
609.832,21731
610.267,21708
610.703,21606
611.138,21581
611.574,21587
612.009,21607
612.444,21465
612.879,21566
613.314,21672
613.748,21683
614.183,21537
614.617,21617
615.052,21465
615.486,21395
615.920,21490
616.354,21532
616.788,21319
617.222,21444
617.655,21413
618.089,21389
618.522,21388
618.956,21350
619.389,21408
619.822,21275
620.255,21232
620.688,21113
621.120,20973
621.553,21186
621.985,21144
622.418,21087
622.850,20871
623.282,21021
623.714,21071
624.146,20672
624.577,20921
625.009,20879
625.441,20830
625.872,20763
626.303,20723
626.734,20618
627.165,20712
627.596,20816
628.027,20622
628.458,20529
628.888,20589
629.319,20533
629.749,20511
630.179,20307
630.609,20489
631.039,20525
631.469,20332
631.899,20348
632.328,20352
632.758,20164
633.187,20455
633.616,20124
634.046,20148
634.475,20189
634.903,20231
635.332,20071
635.761,20288
636.189,19955
636.618,19962
637.046,20028
637.474,19860
637.902,20078
638.330,20047
638.758,19985
639.186,20033
639.613,19990
640.041,19880
640.468,19611
640.895,20000
641.322,19940
641.749,19781
642.176,19646
642.603,19838
643.029,20025
643.456,19709
643.882,19641
644.308,19748
644.735,19667
645.161,19511
645.586,19773
646.012,19576
646.438,19662
646.863,19545
647.289,19626
647.714,19432
648.139,19496
648.564,19532
648.989,19486
649.414,19530
649.839,19268
650.263,19463
650.688,19515
651.112,19525
651.536,19348
651.961,19236
652.384,19581
652.808,19443
653.232,19171
653.656,19216
654.079,19291
654.503,19049
654.926,19153
655.349,18969
655.772,19082
656.195,19122
656.618,18954
657.040,19260
657.463,19008
657.885,19159
658.308,18796
658.730,19033
659.152,19087
659.574,18933
659.996,18905
660.417,19037
660.839,19110
661.260,18832
661.682,18825
662.103,18611
662.524,18589
662.945,18590
663.366,18571
663.787,18442
664.207,18276
664.628,18418
665.048,18329
665.468,18354
665.888,18453
666.308,18089
666.728,18018
667.148,17985
667.568,17939
667.987,17795
668.407,17938
668.826,17947
669.245,18037
669.664,17962
670.083,17960
670.502,17856
670.921,17855
671.339,17727
671.758,17861
672.176,17834
672.594,17887
673.012,17875
673.430,17709
673.848,17803
674.266,17957
674.684,17729
675.101,17910
675.519,17738
675.936,17976
676.353,17921
676.770,17628
677.187,17769
677.604,17632
678.020,17735
678.437,17766
678.853,17674
679.270,17752
679.686,17574
680.102,17431
680.518,17672
680.933,17548
681.349,17449
681.765,17429
682.180,17626
682.596,17391
683.011,17500
683.426,17523
683.841,17525
684.256,17337
684.670,17333
685.085,17408
685.499,17312
685.914,17401
686.328,17204
686.742,17135
687.156,17145
687.570,17288
687.984,17197
688.398,17217
688.811,17046
689.224,17199
689.638,17080
690.051,17097
690.464,17035
690.877,17438
691.290,17004
691.702,17040
692.115,16914
692.527,17073
692.940,16894
693.352,16863
693.764,16755
694.176,16871
694.588,16893
694.999,16792
