wavelength_nm,counts
218.821,893
219.350,893
219.878,1305
220.407,893
220.935,876
221.463,857
221.991,922
222.519,912
223.047,919
223.574,891
224.102,878
224.630,864
225.157,935
225.684,894
226.211,920
226.738,888
227.265,969
227.792,1002
228.319,951
228.845,946
229.372,955
229.898,950
230.425,968
230.951,989
231.477,1014
232.003,942
232.529,962
233.054,949
233.580,967
234.105,996
234.631,975
235.156,1069
235.681,1025
236.206,999
236.731,985
237.256,970
237.781,928
238.305,1000
238.830,974
239.354,927
239.879,1022
240.403,964
240.927,928
241.451,998
241.975,975
242.498,1009
243.022,974
243.545,958
244.069,962
244.592,939
245.115,919
245.638,965
246.161,949
246.684,984
247.207,942
247.729,938
248.252,963
248.774,949
249.296,994
249.819,977
250.341,953
250.863,942
251.384,965
251.906,994
252.428,996
252.949,1024
253.471,932
253.992,971
254.513,927
255.034,1012
255.555,946
256.076,988
256.597,968
257.117,987
257.638,930
258.158,885
258.678,944
259.198,1012
259.718,990
260.238,948
260.758,937
261.278,971
261.798,964
262.317,937
262.836,958
263.356,925
263.875,907
264.394,942
264.913,970
265.432,924
265.950,911
266.469,930
266.987,933
267.506,898
268.024,991
268.542,905
269.060,992
269.578,943
270.096,984
270.614,961
271.131,946
271.649,959
272.166,918
272.683,946
273.200,949
273.717,939
274.234,1014
274.751,897
275.268,920
275.784,951
276.301,952
276.817,954
277.334,959
277.850,935
278.366,951
278.882,929
279.397,946
279.913,972
280.429,961
280.944,918
281.460,932
281.975,938
282.490,953
283.005,942
283.520,1011
284.035,964
284.549,992
285.064,963
285.578,962
286.093,924
286.607,923
287.121,953
287.635,930
288.149,934
288.663,981
289.176,972
289.690,953
290.203,971
290.717,972
291.230,972
291.743,961
292.256,929
292.769,937
293.282,934
293.794,957
294.307,952
294.819,975
295.332,965
295.844,904
296.356,959
296.868,923
297.380,952
297.892,929
298.403,924
298.915,937
299.426,918
299.938,960
300.449,923
300.960,877
301.471,940
301.982,927
302.492,925
303.003,980
303.514,1010
304.024,974
304.534,994
305.045,977
305.555,931
306.065,965
306.575,937
307.084,932
307.594,941
308.103,940
308.613,939
309.122,934
309.631,953
310.140,965
310.649,953
311.158,998
311.667,981
312.176,954
312.684,951
313.192,950
313.701,1037
314.209,923
314.717,921
315.225,910
315.733,971
316.240,884
316.748,955
317.256,951
317.763,957
318.270,922
318.777,938
319.284,911
319.791,902
320.298,979
320.805,971
321.311,930
321.818,934
322.324,945
322.831,1012
323.337,902
323.843,943
324.349,970
324.854,928
325.360,936
325.866,929
326.371,949
326.877,1030
327.382,1015
327.887,972
328.392,922
328.897,960
329.402,926
329.906,892
330.411,939
330.915,954
331.420,958
331.924,921
332.428,964
332.932,930
333.436,919
333.940,910
334.443,931
334.947,964
335.450,970
335.954,963
336.457,940
336.960,967
337.463,931
337.966,1012
338.469,961
338.971,955
339.474,918
339.976,954
340.478,965
340.981,950
341.483,986
341.985,906
342.486,945
342.988,886
343.490,961
343.991,907
344.493,968
344.994,958
345.495,952
345.996,980
346.497,1319
346.998,938
347.499,978
347.999,963
348.500,997
349.000,986
349.501,998
350.001,955
350.501,944
351.001,895
351.500,924
352.000,935
352.500,934
352.999,954
353.499,949
353.998,983
354.497,991
354.996,935
355.495,1005
355.994,894
356.492,953
356.991,942
357.489,955
357.988,935
358.486,924
358.984,906
359.482,946
359.980,914
360.478,936
360.975,949
361.473,903
361.970,965
362.468,952
362.965,936
363.462,912
363.959,931
364.456,957
364.953,955
365.449,924
365.946,943
366.442,953
366.939,916
367.435,983
367.931,942
368.427,952
368.923,914
369.418,911
369.914,897
370.409,938
370.905,932
371.400,938
371.895,952
372.390,928
372.885,925
373.380,956
373.875,898
374.369,1095
374.864,970
375.358,958
375.852,985
376.347,924
376.841,907
377.335,906
377.828,976
378.322,938
378.816,957
379.309,967
379.802,921
380.296,952
380.789,927
381.282,984
381.775,1010
382.267,882
382.760,945
383.253,941
383.745,923
384.237,1006
384.730,966
385.222,934
385.714,938
386.205,978
386.697,908
387.189,967
387.680,901
388.172,1017
388.663,936
389.154,967
389.645,955
390.136,947
390.627,942
391.118,922
391.608,943
392.099,948
392.589,963
393.080,1085
393.570,940
394.060,1023
394.550,953
395.040,949
395.529,963
396.019,974
396.508,1035
396.998,958
397.487,981
397.976,1011
398.465,1024
398.954,950
399.443,934
399.931,996
400.420,1029
400.908,961
401.397,965
401.885,939
402.373,1010
402.861,974
403.349,962
403.837,1030
404.324,942
404.812,1004
405.299,960
405.786,984
406.274,1023
406.761,1009
407.248,911
407.734,1009
408.221,965
408.708,1028
409.194,963
409.681,1006
410.167,1032
410.653,1052
411.139,1047
411.625,1009
412.111,1007
412.597,1016
413.082,1091
413.568,1045
414.053,1070
414.538,990
415.023,1019
415.508,1066
415.993,1063
416.478,1150
416.963,1043
417.447,1100
417.932,1043
418.416,1050
418.900,975
419.384,1058
419.868,1054
420.352,1039
420.836,1052
421.319,1047
421.803,1075
422.286,1001
422.770,1041
423.253,1039
423.736,1045
424.219,1045
424.702,1008
425.184,1072
425.667,1049
426.149,1053
426.632,1100
427.114,1071
427.596,1058
428.078,1122
428.560,1111
429.042,1061
429.524,1069
430.005,988
430.487,1055
430.968,1050
431.449,1077
431.930,1074
432.411,1097
432.892,1119
433.373,1144
433.854,1084
434.334,1064
434.814,1073
435.295,1047
435.775,1086
436.255,1119
436.735,1056
437.215,1072
437.695,1110
438.174,1125
438.654,1083
439.133,1129
439.612,1155
440.091,1088
440.571,1129
441.049,1165
441.528,1063
442.007,1052
442.486,1148
442.964,1117
443.442,1130
443.921,1163
444.399,1065
444.877,1132
445.355,1133
445.832,1202
446.310,1130
446.788,1183
447.265,1202
447.742,1145
448.219,1123
448.697,1132
449.173,1163
449.650,1142
450.127,1221
450.604,1144
451.080,1233
451.557,1169
452.033,1086
452.509,1118
452.985,1211
453.461,1182
453.937,1149
454.412,1175
454.888,1188
455.363,1175
455.839,1152
456.314,1158
456.789,1168
457.264,1152
457.739,1208
458.214,1150
458.689,1184
459.163,1235
459.637,1216
460.112,1205
460.586,1208
461.060,1183
461.534,1210
462.008,1291
462.482,1194
462.955,1246
463.429,1245
463.902,1214
464.375,1261
464.849,1225
465.322,1321
465.794,1313
466.267,1263
466.740,1276
467.213,1260
467.685,1261
468.157,1259
468.630,1349
469.102,1298
469.574,1319
470.046,1293
470.517,1357
470.989,1319
471.461,1281
471.932,1288
472.403,1330
472.874,1291
473.346,1365
473.816,1308
474.287,1324
474.758,1374
475.229,1385
475.699,1368
476.170,1434
476.640,1432
477.110,1399
477.580,1347
478.050,1490
478.520,1461
478.989,1389
479.459,1448
479.928,1402
480.398,1494
480.867,1506
481.336,1497
481.805,1553
482.274,1536
482.743,1569
483.211,1545
483.680,1552
484.148,1558
484.617,1595
485.085,1579
485.553,1583
486.021,1549
486.489,1608
486.956,1635
487.424,1672
487.891,1627
488.359,1594
488.826,1663
489.293,1666
489.760,1643
490.227,1617
490.694,1636
491.160,1654
491.627,1692
492.093,1677
492.560,1718
493.026,1647
493.492,1687
493.958,1776
494.424,1802
494.890,1710
495.355,1723
495.821,1768
496.286,1734
496.751,1761
497.216,1771
497.682,1812
498.146,1823
498.611,1760
499.076,1766
499.541,1803
500.005,1749
500.469,1898
500.934,1918
501.398,1755
501.862,1854
502.326,1851
502.789,1876
503.253,1854
503.716,1926
504.180,1875
504.643,1843
505.106,1877
505.569,1944
506.032,1891
506.495,1906
506.958,1857
507.420,1930
507.883,1956
508.345,1950
508.808,1938
509.270,1885
509.732,1974
510.194,1907
510.655,1935
511.117,1999
511.579,1989
512.040,1934
512.501,2023
512.963,1970
513.424,1960
513.885,1910
514.345,2066
514.806,2063
515.267,2058
515.727,2046
516.188,2052
516.648,2054
517.108,2041
517.568,2036
518.028,2231
518.488,2018
518.947,2060
519.407,2090
519.866,2086
520.326,2162
520.785,2070
521.244,2112
521.703,2043
522.162,2131
522.621,2163
523.079,2205
523.538,2116
523.996,2190
524.455,2093
524.913,2157
525.371,2101
525.829,2126
526.286,2176
526.744,2218
527.202,2170
