wavelength_nm,counts
218.821,911
219.350,911
219.878,1270
220.407,924
220.935,906
221.463,866
221.991,913
222.519,928
223.047,930
223.574,875
224.102,900
224.630,912
225.157,930
225.684,881
226.211,888
226.738,892
227.265,1019
227.792,1019
228.319,963
228.845,942
229.372,932
229.898,950
230.425,932
230.951,975
231.477,997
232.003,998
232.529,949
233.054,948
233.580,1015
234.105,1027
234.631,980
235.156,1030
235.681,1077
236.206,1023
236.731,931
237.256,947
237.781,916
238.305,1016
238.830,962
239.354,980
239.879,989
240.403,957
240.927,995
241.451,944
241.975,919
242.498,933
243.022,1024
243.545,1010
244.069,965
244.592,1021
245.115,927
245.638,947
246.161,929
246.684,1014
247.207,922
247.729,952
248.252,896
248.774,980
249.296,936
249.819,986
250.341,969
250.863,931
251.384,931
251.906,1025
252.428,883
252.949,944
253.471,968
253.992,970
254.513,1019
255.034,983
255.555,923
256.076,897
256.597,975
257.117,945
257.638,1009
258.158,923
258.678,955
259.198,960
259.718,996
260.238,952
260.758,986
261.278,959
261.798,943
262.317,985
262.836,985
263.356,962
263.875,940
264.394,982
264.913,931
265.432,935
265.950,940
266.469,992
266.987,915
267.506,962
268.024,964
268.542,949
269.060,985
269.578,931
270.096,954
270.614,954
271.131,869
271.649,947
272.166,928
272.683,978
273.200,945
273.717,920
274.234,965
274.751,944
275.268,934
275.784,944
276.301,924
276.817,945
277.334,930
277.850,923
278.366,986
278.882,944
279.397,931
279.913,962
280.429,980
280.944,939
281.460,928
281.975,938
282.490,966
283.005,953
283.520,947
284.035,981
284.549,1013
285.064,947
285.578,1006
286.093,928
286.607,901
287.121,949
287.635,957
288.149,964
288.663,953
289.176,933
289.690,904
290.203,932
290.717,959
291.230,1010
291.743,953
292.256,912
292.769,968
293.282,925
293.794,954
294.307,938
294.819,939
295.332,995
295.844,955
296.356,953
296.868,937
297.380,978
297.892,961
298.403,952
298.915,930
299.426,961
299.938,976
300.449,956
300.960,887
301.471,945
301.982,925
302.492,917
303.003,969
303.514,931
304.024,969
304.534,926
305.045,942
305.555,932
306.065,977
306.575,903
307.084,928
307.594,961
308.103,956
308.613,929
309.122,964
309.631,956
310.140,1006
310.649,963
311.158,930
311.667,955
312.176,950
312.684,934
313.192,965
313.701,981
314.209,933
314.717,926
315.225,950
315.733,979
316.240,897
316.748,958
317.256,899
317.763,935
318.270,967
318.777,923
319.284,932
319.791,932
320.298,942
320.805,956
321.311,934
321.818,904
322.324,922
322.831,994
323.337,971
323.843,952
324.349,970
324.854,933
325.360,960
325.866,971
326.371,961
326.877,954
327.382,971
327.887,919
328.392,953
328.897,929
329.402,951
329.906,910
330.411,984
330.915,955
331.420,897
331.924,935
332.428,925
332.932,888
333.436,909
333.940,873
334.443,950
334.947,962
335.450,908
335.954,928
336.457,948
336.960,953
337.463,924
337.966,961
338.469,942
338.971,997
339.474,917
339.976,942
340.478,919
340.981,960
341.483,932
341.985,965
342.486,938
342.988,940
343.490,940
343.991,872
344.493,974
344.994,986
345.495,1005
345.996,955
346.497,1325
346.998,967
347.499,925
347.999,926
348.500,904
349.000,972
349.501,1017
350.001,902
350.501,934
351.001,904
351.500,901
352.000,937
352.500,940
352.999,972
353.499,939
353.998,856
354.497,934
354.996,910
355.495,942
355.994,919
356.492,936
356.991,986
357.489,880
357.988,984
358.486,838
358.984,888
359.482,977
359.980,874
360.478,917
360.975,918
361.473,952
361.970,981
362.468,929
362.965,946
363.462,936
363.959,976
364.456,947
364.953,930
365.449,940
365.946,985
366.442,953
366.939,956
367.435,955
367.931,899
368.427,904
368.923,947
369.418,921
369.914,948
370.409,942
370.905,925
371.400,896
371.895,956
372.390,938
372.885,895
373.380,944
373.875,892
374.369,1049
374.864,942
375.358,937
375.852,942
376.347,916
376.841,923
377.335,930
377.828,986
378.322,932
378.816,895
379.309,916
379.802,895
380.296,952
380.789,929
381.282,968
381.775,898
382.267,892
382.760,909
383.253,926
383.745,916
384.237,944
384.730,960
385.222,909
385.714,906
386.205,972
386.697,934
387.189,929
387.680,896
388.172,966
388.663,948
389.154,977
389.645,946
390.136,891
390.627,922
391.118,932
391.608,971
392.099,921
392.589,922
393.080,968
393.570,933
394.060,957
394.550,908
395.040,930
395.529,905
396.019,957
396.508,941
396.998,952
397.487,925
397.976,918
398.465,979
398.954,923
399.443,955
399.931,932
400.420,934
400.908,956
