wavelength_nm,counts
218.821,926
219.350,926
219.878,1285
220.407,895
220.935,885
221.463,928
221.991,867
222.519,923
223.047,869
223.574,887
224.102,900
224.630,901
225.157,931
225.684,869
226.211,872
226.738,934
227.265,982
227.792,1042
228.319,916
228.845,968
229.372,955
229.898,961
230.425,935
230.951,993
231.477,948
232.003,942
232.529,925
233.054,936
233.580,967
234.105,994
234.631,978
235.156,974
235.681,993
236.206,987
236.731,959
237.256,909
237.781,948
238.305,1007
238.830,984
239.354,949
239.879,988
240.403,924
240.927,964
241.451,897
241.975,934
242.498,961
243.022,945
243.545,938
244.069,914
244.592,969
245.115,941
245.638,935
246.161,913
246.684,979
247.207,898
247.729,950
248.252,939
248.774,930
249.296,906
249.819,911
250.341,953
250.863,921
251.384,956
251.906,988
252.428,918
252.949,974
253.471,947
253.992,950
254.513,934
255.034,962
255.555,924
256.076,907
256.597,901
257.117,947
257.638,936
258.158,960
258.678,928
259.198,943
259.718,916
260.238,916
260.758,944
261.278,980
261.798,936
262.317,949
262.836,887
263.356,942
263.875,933
264.394,935
264.913,936
265.432,910
265.950,924
266.469,914
266.987,948
267.506,899
268.024,957
268.542,1002
269.060,899
269.578,949
270.096,948
270.614,915
271.131,967
271.649,958
272.166,939
272.683,904
273.200,944
273.717,948
274.234,978
274.751,975
275.268,979
275.784,917
276.301,938
276.817,933
277.334,989
277.850,954
278.366,965
278.882,901
279.397,953
279.913,963
280.429,907
280.944,907
281.460,907
281.975,958
282.490,897
283.005,912
283.520,923
284.035,953
284.549,971
285.064,887
285.578,897
286.093,932
286.607,927
287.121,935
287.635,926
288.149,928
288.663,913
289.176,943
289.690,932
290.203,903
290.717,945
291.230,914
291.743,907
292.256,935
292.769,920
293.282,910
293.794,929
294.307,942
294.819,948
295.332,964
295.844,964
296.356,940
296.868,896
297.380,915
297.892,958
298.403,923
298.915,924
299.426,943
299.938,970
300.449,868
300.960,953
301.471,898
301.982,965
302.492,927
303.003,967
303.514,948
304.024,934
304.534,955
305.045,917
305.555,908
306.065,899
306.575,939
307.084,931
307.594,909
308.103,970
308.613,924
309.122,950
309.631,921
310.140,937
310.649,891
311.158,929
311.667,975
312.176,939
312.684,976
313.192,951
313.701,939
314.209,932
314.717,876
315.225,858
315.733,933
316.240,944
316.748,918
317.256,943
317.763,924
318.270,926
318.777,907
319.284,933
319.791,935
320.298,955
320.805,962
321.311,945
321.818,906
322.324,949
322.831,936
323.337,923
323.843,944
324.349,919
324.854,940
325.360,893
325.866,933
326.371,939
326.877,955
327.382,1006
327.887,952
328.392,924
328.897,929
329.402,879
329.906,903
330.411,870
330.915,903
331.420,930
331.924,914
332.428,909
332.932,899
333.436,947
333.940,907
334.443,902
334.947,892
335.450,933
335.954,923
336.457,922
336.960,927
337.463,942
337.966,933
338.469,946
338.971,982
339.474,936
339.976,927
340.478,933
340.981,900
341.483,938
341.985,937
342.486,929
342.988,897
343.490,920
343.991,929
344.493,934
344.994,890
