wavelength_nm,counts
218.821,870
219.350,870
219.878,1283
220.407,907
220.935,829
221.463,983
221.991,863
222.519,886
223.047,902
223.574,880
224.102,885
224.630,912
225.157,914
225.684,872
226.211,878
226.738,895
227.265,997
227.792,1011
228.319,943
228.845,933
229.372,937
229.898,931
230.425,958
230.951,958
231.477,928
232.003,955
232.529,945
233.054,919
233.580,949
234.105,1000
234.631,929
235.156,980
235.681,1004
236.206,940
236.731,921
237.256,943
237.781,967
238.305,993
238.830,1035
239.354,919
239.879,1029
240.403,928
240.927,986
241.451,1015
241.975,959
242.498,1002
243.022,911
243.545,971
244.069,955
244.592,1016
245.115,940
245.638,1003
246.161,952
246.684,1063
247.207,973
247.729,969
248.252,983
248.774,973
249.296,988
249.819,986
250.341,1002
250.863,954
251.384,980
251.906,1011
252.428,1015
252.949,1039
253.471,966
253.992,970
254.513,971
255.034,970
255.555,956
256.076,935
256.597,990
257.117,959
257.638,993
258.158,941
258.678,954
259.198,945
259.718,1018
260.238,967
260.758,949
261.278,920
261.798,987
262.317,1023
262.836,987
263.356,981
263.875,962
264.394,978
264.913,1001
265.432,978
265.950,977
266.469,978
266.987,960
267.506,969
268.024,945
268.542,989
269.060,984
269.578,956
270.096,1005
270.614,999
271.131,976
271.649,954
272.166,986
272.683,969
273.200,976
273.717,947
274.234,991
274.751,949
275.268,943
275.784,977
276.301,971
276.817,957
277.334,1001
277.850,987
278.366,1010
278.882,1003
279.397,905
279.913,984
280.429,988
280.944,920
281.460,908
281.975,970
282.490,975
283.005,984
283.520,954
284.035,962
284.549,1020
285.064,979
285.578,965
286.093,928
286.607,997
287.121,963
287.635,936
288.149,1029
288.663,994
289.176,938
289.690,981
290.203,950
290.717,947
291.230,985
291.743,1021
292.256,910
292.769,949
293.282,965
293.794,968
294.307,920
294.819,983
295.332,999
295.844,1016
296.356,1021
296.868,958
297.380,1014
297.892,941
298.403,938
298.915,984
299.426,956
299.938,975
300.449,992
300.960,950
301.471,1001
301.982,962
302.492,1005
303.003,956
303.514,963
304.024,1014
304.534,967
305.045,988
305.555,990
306.065,1019
306.575,979
307.084,998
307.594,950
308.103,983
308.613,987
309.122,936
309.631,1022
310.140,1044
310.649,1018
311.158,981
311.667,962
312.176,991
312.684,964
313.192,986
313.701,995
314.209,959
314.717,972
315.225,957
315.733,957
316.240,962
316.748,955
317.256,930
317.763,975
318.270,977
318.777,954
319.284,982
319.791,998
320.298,987
320.805,965
321.311,971
321.818,978
322.324,978
322.831,1076
323.337,920
323.843,995
324.349,993
324.854,944
325.360,952
325.866,947
326.371,942
326.877,1030
327.382,1017
327.887,991
328.392,944
328.897,996
329.402,989
329.906,1043
330.411,971
330.915,979
331.420,970
331.924,968
332.428,1028
332.932,1007
333.436,985
333.940,966
334.443,998
334.947,965
335.450,977
335.954,1009
336.457,981
336.960,996
337.463,990
337.966,935
338.469,966
338.971,1041
