wavelength_nm,counts
218.821,861
219.350,861
219.878,1269
220.407,894
220.935,891
221.463,886
221.991,891
222.519,838
223.047,905
223.574,914
224.102,873
224.630,871
225.157,901
225.684,854
226.211,881
226.738,909
227.265,935
227.792,981
228.319,966
228.845,948
229.372,903
229.898,941
230.425,921
230.951,989
231.477,978
232.003,914
232.529,975
233.054,913
233.580,902
234.105,891
234.631,900
235.156,945
235.681,987
236.206,936
236.731,912
237.256,956
237.781,967
238.305,1021
238.830,984
239.354,939
239.879,1005
240.403,957
240.927,945
241.451,970
241.975,938
242.498,985
243.022,994
243.545,965
244.069,975
244.592,961
245.115,976
245.638,982
246.161,977
246.684,974
247.207,982
247.729,1009
248.252,971
248.774,972
249.296,959
249.819,997
250.341,1007
250.863,951
251.384,969
251.906,1043
252.428,1056
252.949,976
253.471,993
253.992,943
254.513,991
255.034,967
255.555,939
256.076,969
256.597,990
257.117,975
257.638,958
258.158,982
258.678,919
259.198,981
259.718,1021
260.238,997
260.758,930
261.278,994
261.798,970
262.317,961
262.836,965
263.356,973
263.875,970
264.394,953
264.913,916
265.432,947
265.950,985
266.469,1004
266.987,986
267.506,999
268.024,996
268.542,965
269.060,999
269.578,987
270.096,1012
270.614,979
271.131,949
271.649,974
272.166,1009
272.683,966
273.200,925
273.717,899
274.234,993
274.751,954
275.268,978
275.784,920
276.301,991
276.817,984
277.334,985
277.850,957
278.366,1008
278.882,963
279.397,972
279.913,977
280.429,975
280.944,990
281.460,956
281.975,952
282.490,973
283.005,995
283.520,959
284.035,997
284.549,1055
285.064,1002
285.578,986
286.093,919
286.607,896
287.121,947
287.635,954
288.149,954
288.663,963
289.176,947
289.690,992
290.203,997
290.717,987
291.230,958
291.743,958
292.256,976
292.769,946
293.282,984
293.794,956
294.307,955
294.819,968
295.332,1030
295.844,956
296.356,967
296.868,998
297.380,988
297.892,990
298.403,962
298.915,955
299.426,946
299.938,983
300.449,1020
300.960,954
301.471,931
301.982,947
302.492,957
303.003,1019
303.514,954
304.024,1001
304.534,972
305.045,997
305.555,944
306.065,1024
306.575,972
307.084,939
307.594,928
308.103,944
308.613,922
309.122,974
309.631,998
310.140,951
310.649,985
311.158,913
311.667,949
312.176,1000
312.684,996
313.192,950
313.701,977
314.209,998
314.717,962
315.225,972
315.733,954
316.240,1004
316.748,942
317.256,962
317.763,1015
318.270,953
318.777,924
319.284,967
319.791,933
320.298,960
320.805,982
321.311,989
321.818,945
322.324,936
322.831,1004
323.337,968
323.843,967
324.349,1026
324.854,963
325.360,949
325.866,988
326.371,952
326.877,985
327.382,1002
327.887,960
328.392,951
328.897,982
329.402,960
329.906,943
330.411,998
330.915,927
331.420,955
331.924,959
332.428,916
332.932,998
333.436,999
333.940,961
334.443,990
334.947,924
335.450,969
335.954,907
336.457,944
336.960,1022
337.463,999
337.966,985
338.469,959
338.971,1030
339.474,938
339.976,968
340.478,956
340.981,1001
341.483,933
341.985,964
342.486,920
342.988,1001
343.490,984
343.991,954
344.493,955
344.994,931
345.495,968
345.996,1006
346.497,1256
346.998,1001
347.499,958
347.999,950
348.500,924
349.000,1024
349.501,1000
350.001,947
350.501,957
351.001,972
351.500,978
352.000,934
352.500,982
352.999,979
353.499,1028
353.998,965
354.497,1009
354.996,961
355.495,954
355.994,967
356.492,985
356.991,987
357.489,982
357.988,992
358.486,988
358.984,995
359.482,966
359.980,983
360.478,1016
360.975,983
361.473,1008
361.970,979
362.468,992
362.965,979
363.462,1010
363.959,1005
364.456,959
364.953,1012
365.449,968
365.946,1005
366.442,1035
366.939,986
367.435,1032
367.931,1015
368.427,1040
368.923,1009
369.418,986
369.914,976
370.409,1014
370.905,1007
371.400,1028
371.895,1001
372.390,992
372.885,1030
373.380,970
373.875,995
374.369,1117
374.864,1064
375.358,1023
375.852,1053
376.347,1006
376.841,1002
377.335,1042
377.828,1056
378.322,1072
378.816,1025
379.309,1037
379.802,1029
380.296,1056
380.789,1016
381.282,1032
381.775,1033
382.267,1038
382.760,1110
383.253,1085
383.745,1070
384.237,1118
384.730,1144
385.222,1113
385.714,1138
386.205,1143
386.697,1145
387.189,1101
387.680,1125
388.172,1170
388.663,1148
389.154,1187
389.645,1178
390.136,1185
390.627,1198
391.118,1195
391.608,1183
392.099,1178
392.589,1187
393.080,1271
393.570,1170
394.060,1245
394.550,1182
395.040,1227
395.529,1258
396.019,1247
396.508,1317
396.998,1338
397.487,1312
397.976,1262
398.465,1367
398.954,1314
399.443,1318
399.931,1367
400.420,1377
400.908,1415
401.397,1332
401.885,1347
402.373,1443
402.861,1401
403.349,1432
403.837,1403
404.324,1453
404.812,1500
405.299,1459
405.786,1534
406.274,1586
406.761,1547
407.248,1530
407.734,1552
408.221,1604
408.708,1599
409.194,1615
409.681,1621
410.167,1582
410.653,1697
411.139,1725
411.625,1706
412.111,1783
412.597,1716
413.082,1778
413.568,1859
414.053,1844
414.538,1811
415.023,1823
415.508,1843
415.993,1852
416.478,1885
416.963,1980
417.447,1994
417.932,1914
418.416,1964
418.900,1992
419.384,2015
419.868,1972
420.352,2001
420.836,1984
421.319,2022
421.803,2129
422.286,2104
422.770,2063
423.253,2193
423.736,2116
424.219,2163
424.702,2164
425.184,2211
425.667,2279
426.149,2272
426.632,2256
427.114,2281
427.596,2292
428.078,2464
428.560,2334
429.042,2327
429.524,2343
430.005,2432
430.487,2408
430.968,2432
431.449,2532
431.930,2528
432.411,2473
432.892,2578
433.373,2558
433.854,2592
434.334,2628
434.814,2613
435.295,2663
435.775,2645
436.255,2714
436.735,2723
437.215,2686
437.695,2822
438.174,2783
438.654,2817
439.133,2796
439.612,2897
440.091,2880
440.571,2902
441.049,2987
441.528,2989
442.007,2956
442.486,3096
442.964,3066
443.442,3021
443.921,3091
444.399,3132
444.877,3188
445.355,3199
445.832,3207
446.310,3218
446.788,3281
447.265,3286
447.742,3371
448.219,3342
448.697,3407
449.173,3441
449.650,3400
