wavelength_nm,counts
218.821,896
219.350,896
219.878,1260
220.407,897
220.935,883
221.463,927
221.991,927
222.519,898
223.047,909
223.574,893
224.102,930
224.630,902
225.157,879
225.684,866
226.211,896
226.738,910
227.265,933
227.792,977
228.319,974
228.845,968
229.372,951
229.898,993
230.425,976
230.951,1014
231.477,995
232.003,949
232.529,968
233.054,942
233.580,985
234.105,1079
234.631,1010
235.156,1013
235.681,1094
236.206,977
236.731,970
237.256,920
237.781,917
238.305,1071
238.830,895
239.354,925
239.879,950
240.403,922
240.927,899
241.451,984
241.975,1011
242.498,962
243.022,1001
243.545,972
244.069,910
244.592,996
245.115,1003
245.638,963
246.161,950
246.684,984
247.207,981
247.729,933
248.252,937
248.774,927
249.296,934
249.819,985
250.341,999
250.863,862
251.384,916
251.906,993
252.428,952
252.949,946
253.471,948
253.992,1012
254.513,900
255.034,952
255.555,982
256.076,909
256.597,948
257.117,1012
257.638,951
258.158,968
258.678,953
259.198,945
259.718,997
260.238,928
260.758,981
261.278,991
261.798,951
262.317,963
262.836,899
263.356,993
263.875,971
264.394,998
264.913,957
265.432,941
265.950,908
266.469,986
266.987,924
267.506,994
268.024,942
268.542,942
269.060,992
269.578,941
270.096,985
270.614,1029
271.131,931
271.649,900
272.166,949
272.683,1004
273.200,948
273.717,938
274.234,901
274.751,959
275.268,879
275.784,952
276.301,956
276.817,932
277.334,950
277.850,951
278.366,923
278.882,933
279.397,932
279.913,980
280.429,989
280.944,939
281.460,942
281.975,899
282.490,965
283.005,960
283.520,954
284.035,965
284.549,1027
285.064,916
285.578,906
286.093,967
286.607,945
287.121,952
287.635,1024
288.149,939
288.663,972
289.176,925
289.690,911
290.203,935
290.717,925
291.230,956
291.743,936
292.256,914
292.769,984
293.282,994
293.794,979
294.307,909
294.819,936
295.332,992
295.844,944
296.356,988
296.868,935
297.380,930
297.892,971
298.403,1001
298.915,981
299.426,953
299.938,974
300.449,901
300.960,966
301.471,1006
301.982,935
302.492,910
303.003,947
303.514,919
304.024,928
304.534,935
305.045,980
305.555,987
306.065,917
306.575,950
307.084,999
307.594,959
308.103,958
308.613,953
309.122,958
309.631,1008
310.140,945
310.649,916
311.158,975
311.667,976
312.176,953
312.684,941
313.192,992
313.701,1011
314.209,962
314.717,927
315.225,932
315.733,956
316.240,952
316.748,882
317.256,946
317.763,903
318.270,946
318.777,884
319.284,933
319.791,925
320.298,937
320.805,974
321.311,928
321.818,971
322.324,939
322.831,1000
323.337,934
323.843,916
324.349,958
324.854,922
325.360,905
325.866,964
326.371,977
326.877,1018
327.382,1006
327.887,975
328.392,947
328.897,948
329.402,931
329.906,960
330.411,955
330.915,917
331.420,879
331.924,937
332.428,941
332.932,939
333.436,932
333.940,909
334.443,941
334.947,911
335.450,913
335.954,946
336.457,901
336.960,958
337.463,967
337.966,942
338.469,916
338.971,1052
339.474,920
339.976,973
340.478,962
340.981,962
341.483,965
341.985,906
342.486,946
342.988,962
343.490,921
343.991,970
344.493,913
344.994,992
345.495,933
345.996,938
346.497,1374
346.998,1004
347.499,966
347.999,999
348.500,943
349.000,955
349.501,1013
350.001,947
350.501,979
351.001,934
351.500,927
352.000,947
352.500,923
352.999,862
353.499,953
353.998,924
354.497,943
354.996,954
355.495,972
355.994,929
356.492,875
356.991,932
357.489,896
357.988,919
358.486,868
358.984,918
359.482,912
359.980,907
360.478,1000
360.975,949
361.473,888
361.970,960
362.468,938
362.965,952
363.462,982
363.959,960
364.456,969
364.953,950
365.449,923
365.946,948
366.442,909
366.939,924
367.435,944
367.931,930
368.427,952
368.923,989
369.418,937
369.914,940
370.409,949
370.905,916
371.400,1007
371.895,948
372.390,969
372.885,937
373.380,933
373.875,907
374.369,1068
374.864,980
375.358,946
375.852,959
376.347,943
376.841,912
377.335,924
377.828,1004
378.322,929
378.816,929
379.309,949
379.802,943
380.296,985
380.789,931
381.282,950
381.775,951
382.267,947
382.760,966
383.253,979
383.745,966
384.237,982
384.730,933
385.222,991
385.714,970
386.205,991
386.697,958
387.189,967
387.680,948
388.172,1013
388.663,926
389.154,993
389.645,1012
390.136,1003
390.627,968
391.118,1015
391.608,1005
392.099,975
392.589,1001
393.080,994
393.570,997
394.060,959
394.550,1019
395.040,1012
395.529,987
396.019,1003
396.508,994
396.998,960
397.487,1027
397.976,995
398.465,1010
398.954,1003
399.443,1023
399.931,1083
400.420,1071
400.908,994
401.397,972
401.885,1025
402.373,996
402.861,1004
403.349,998
403.837,1038
404.324,1020
404.812,1037
405.299,1040
405.786,1040
406.274,1059
406.761,1037
407.248,1032
407.734,1070
408.221,1048
408.708,1045
409.194,1062
409.681,1092
410.167,1082
410.653,1029
411.139,1086
411.625,1052
412.111,1079
412.597,1069
413.082,1107
413.568,1140
414.053,1173
414.538,1061
415.023,1116
415.508,1121
415.993,1199
416.478,1215
416.963,1144
417.447,1139
417.932,1119
418.416,1155
418.900,1105
419.384,1132
419.868,1142
420.352,1110
420.836,1127
421.319,1092
421.803,1159
422.286,1066
422.770,1127
423.253,1216
423.736,1111
424.219,1213
424.702,1113
425.184,1142
425.667,1159
426.149,1186
426.632,1210
427.114,1156
427.596,1142
428.078,1260
428.560,1210
429.042,1186
429.524,1224
430.005,1143
430.487,1174
430.968,1179
431.449,1241
431.930,1168
432.411,1184
432.892,1188
433.373,1222
433.854,1231
434.334,1272
434.814,1264
435.295,1244
435.775,1211
436.255,1324
436.735,1244
437.215,1250
437.695,1275
438.174,1232
438.654,1304
439.133,1289
439.612,1301
440.091,1283
440.571,1267
441.049,1328
441.528,1312
442.007,1311
442.486,1288
442.964,1371
443.442,1349
443.921,1351
444.399,1306
444.877,1339
445.355,1304
445.832,1355
446.310,1349
446.788,1358
447.265,1374
447.742,1338
448.219,1307
448.697,1350
449.173,1428
449.650,1372
450.127,1373
450.604,1411
451.080,1465
451.557,1487
452.033,1390
452.509,1381
452.985,1418
453.461,1407
453.937,1491
454.412,1480
454.888,1415
455.363,1437
455.839,1497
456.314,1483
456.789,1470
457.264,1453
457.739,1487
458.214,1495
458.689,1484
459.163,1508
459.637,1504
460.112,1511
460.586,1521
461.060,1494
461.534,1521
462.008,1619
462.482,1485
462.955,1524
463.429,1575
463.902,1545
464.375,1551
464.849,1560
465.322,1621
465.794,1657
466.267,1578
466.740,1548
467.213,1625
467.685,1630
468.157,1633
468.630,1729
469.102,1643
469.574,1638
470.046,1658
470.517,1690
470.989,1729
471.461,1713
471.932,1726
472.403,1723
472.874,1741
473.346,1752
473.816,1764
474.287,1741
474.758,1835
475.229,1858
475.699,1807
476.170,1922
476.640,1931
477.110,1895
477.580,1939
478.050,2017
478.520,1999
478.989,1952
479.459,1995
479.928,1983
480.398,2025
480.867,2076
481.336,1996
481.805,2121
482.274,2101
482.743,2119
483.211,2163
483.680,2133
484.148,2155
484.617,2249
485.085,2211
485.553,2326
486.021,2288
486.489,2297
486.956,2287
487.424,2373
487.891,2366
488.359,2444
488.826,2433
489.293,2419
489.760,2419
490.227,2431
490.694,2478
491.160,2548
491.627,2421
492.093,2472
492.560,2503
493.026,2568
493.492,2563
493.958,2591
494.424,2577
494.890,2576
495.355,2665
495.821,2697
496.286,2582
496.751,2586
497.216,2648
497.682,2689
498.146,2704
498.611,2661
499.076,2668
499.541,2731
500.005,2790
500.469,2789
500.934,2910
501.398,2839
501.862,2890
502.326,2758
502.789,2831
503.253,2871
503.716,2939
504.180,2899
504.643,2771
505.106,2980
505.569,2944
506.032,2983
506.495,3009
506.958,2841
507.420,3024
507.883,2989
508.345,2956
508.808,2994
509.270,3009
509.732,3064
510.194,3084
510.655,3059
511.117,3050
511.579,3151
512.040,3052
512.501,3157
512.963,3190
513.424,3170
513.885,3116
514.345,3148
514.806,3224
515.267,3224
515.727,3244
516.188,3289
516.648,3285
517.108,3267
517.568,3333
518.028,3443
518.488,3372
518.947,3381
519.407,3313
519.866,3351
520.326,3417
520.785,3310
521.244,3321
521.703,3456
522.162,3406
522.621,3472
523.079,3474
523.538,3432
523.996,3528
524.455,3479
524.913,3476
525.371,3551
525.829,3588
526.286,3522
526.744,3613
527.202,3557
527.659,3513
528.117,3585
528.574,3537
529.031,3571
529.488,3503
529.945,3566
530.402,3521
530.858,3567
531.315,3647
531.771,3592
532.227,3615
532.684,3625
533.140,3616
533.596,3623
534.051,3638
534.507,3539
534.963,3568
535.418,3623
535.873,3671
536.329,3608
536.784,3734
537.239,3726
537.694,3824
538.148,3720
538.603,3714
539.058,3690
539.512,3656
539.966,3797
540.421,3660
540.875,3699
541.329,3754
541.782,3782
542.236,3727
542.690,3737
543.143,3730
543.597,3721
544.050,3826
544.503,3808
544.956,3733
545.409,3746
545.862,3797
546.314,3783
546.767,3770
547.219,3835
547.672,3896
548.124,3888
548.576,3806
549.028,3841
549.480,3880
549.931,3922
550.383,3903
550.834,3841
551.286,3921
551.737,4047
552.188,4059
552.639,3988
553.090,3992
553.541,4095
553.992,3960
554.442,4037
554.893,4014
555.343,4045
555.793,4056
556.243,4038
556.693,4030
557.143,4059
557.593,4108
558.042,4097
558.492,4098
558.941,4131
559.390,4091
559.839,4121
560.288,4192
560.737,4151
561.186,4253
561.635,4178
562.083,4252
562.532,4236
562.980,4219
563.428,4222
563.876,4225
564.324,4280
564.772,4248
565.220,4264
565.667,4205
566.115,4373
566.562,4334
567.010,4287
567.457,4292
567.904,4308
568.351,4333
568.797,4281
569.244,4352
569.691,4285
570.137,4434
570.583,4311
571.030,4302
571.476,4329
571.922,4367
572.367,4337
572.813,4274
573.259,4293
573.704,4325
574.150,4312
574.595,4443
575.040,4320
575.485,4298
575.930,4333
576.375,4288
576.819,4523
577.264,4341
577.708,4364
578.153,4403
578.597,4280
579.041,4395
579.485,4365
579.929,4380
580.372,4371
580.816,4283
581.259,4267
581.703,4236
582.146,4293
582.589,4380
583.032,4306
583.475,4323
583.918,4367
584.360,4325
584.803,4393
585.245,4417
585.688,4354
586.130,4300
586.572,4295
587.014,4396
587.456,4453
587.897,4405
588.339,4385
588.780,4429
589.222,4381
589.663,4430
590.104,4317
590.545,4380
590.986,4346
591.427,4412
591.867,4465
592.308,4406
592.748,4385
593.189,4402
593.629,4349
594.069,4505
594.509,4426
594.949,4532
595.388,4387
595.828,4390
596.267,4469
596.707,4441
597.146,4459
597.585,4443
598.024,4453
598.463,4484
598.902,4435
599.340,4427
599.779,4384
600.217,4480
600.655,4519
601.093,4498
