wavelength_nm,counts
218.821,911
219.350,911
219.878,1326
220.407,857
220.935,934
221.463,887
221.991,906
222.519,894
223.047,932
223.574,857
224.102,864
224.630,869
225.157,889
225.684,910
226.211,858
226.738,886
227.265,955
227.792,982
228.319,960
228.845,970
229.372,951
229.898,973
230.425,929
230.951,917
231.477,969
232.003,957
232.529,918
233.054,951
233.580,980
234.105,965
234.631,967
235.156,979
235.681,1080
236.206,988
236.731,970
237.256,946
237.781,991
238.305,1072
238.830,947
239.354,919
239.879,1057
240.403,913
240.927,947
241.451,978
241.975,931
242.498,931
243.022,964
243.545,975
244.069,920
244.592,944
245.115,922
245.638,912
246.161,945
246.684,993
247.207,901
247.729,955
248.252,905
248.774,954
249.296,960
249.819,946
250.341,931
250.863,947
251.384,943
251.906,966
252.428,954
252.949,933
253.471,892
253.992,920
254.513,1016
255.034,931
255.555,930
256.076,946
256.597,992
257.117,968
257.638,938
258.158,920
258.678,962
259.198,912
259.718,927
260.238,958
260.758,982
261.278,967
261.798,974
262.317,910
262.836,973
263.356,965
263.875,922
264.394,966
264.913,958
265.432,943
265.950,914
266.469,983
266.987,975
267.506,972
268.024,996
268.542,942
269.060,970
269.578,921
270.096,948
270.614,999
271.131,934
271.649,955
272.166,950
272.683,941
273.200,929
273.717,1008
274.234,958
274.751,914
275.268,950
275.784,950
276.301,902
276.817,936
277.334,990
277.850,967
278.366,981
278.882,970
279.397,947
279.913,977
280.429,960
280.944,908
281.460,956
281.975,932
282.490,889
283.005,973
283.520,953
284.035,971
284.549,993
285.064,1008
285.578,928
286.093,928
286.607,934
287.121,911
287.635,920
288.149,941
288.663,1017
289.176,939
289.690,897
290.203,928
290.717,963
291.230,942
291.743,958
292.256,878
292.769,916
293.282,937
293.794,965
294.307,896
294.819,900
295.332,943
295.844,905
296.356,963
296.868,975
297.380,990
297.892,942
298.403,924
298.915,987
299.426,961
299.938,982
300.449,904
300.960,939
301.471,921
301.982,920
302.492,941
303.003,942
303.514,907
304.024,1019
304.534,953
305.045,975
305.555,917
306.065,978
306.575,937
307.084,905
307.594,963
308.103,957
308.613,944
309.122,947
309.631,957
310.140,927
310.649,940
311.158,917
311.667,932
312.176,919
312.684,920
313.192,920
313.701,979
314.209,918
314.717,945
315.225,918
315.733,933
316.240,925
316.748,961
317.256,968
317.763,958
318.270,948
318.777,934
319.284,925
319.791,986
320.298,965
320.805,958
321.311,857
321.818,973
322.324,959
322.831,988
323.337,915
323.843,915
324.349,980
324.854,923
325.360,957
325.866,923
326.371,994
326.877,998
327.382,964
327.887,934
328.392,934
328.897,942
329.402,928
329.906,958
330.411,928
330.915,925
331.420,913
331.924,915
332.428,923
332.932,934
333.436,909
333.940,889
334.443,945
334.947,955
335.450,936
335.954,877
336.457,897
336.960,899
337.463,943
337.966,894
338.469,918
338.971,970
339.474,933
339.976,957
340.478,949
340.981,1003
341.483,987
341.985,882
342.486,979
342.988,939
343.490,979
343.991,925
344.493,961
344.994,954
345.495,955
345.996,931
346.497,1363
346.998,991
347.499,936
347.999,1006
348.500,970
349.000,1006
349.501,1002
350.001,944
350.501,943
351.001,916
351.500,931
352.000,949
352.500,961
352.999,892
353.499,943
353.998,963
354.497,910
354.996,919
355.495,958
355.994,919
356.492,898
356.991,946
357.489,953
357.988,914
358.486,965
358.984,927
359.482,972
359.980,929
360.478,917
360.975,938
361.473,968
361.970,948
362.468,924
362.965,915
363.462,931
363.959,956
364.456,952
364.953,900
365.449,908
365.946,965
366.442,946
366.939,925
367.435,959
367.931,948
368.427,932
368.923,957
369.418,1007
369.914,958
370.409,914
370.905,957
371.400,935
371.895,968
372.390,942
372.885,944
373.380,937
373.875,920
374.369,1060
374.864,945
375.358,912
375.852,1021
376.347,931
376.841,939
377.335,932
377.828,989
378.322,912
378.816,965
379.309,882
379.802,912
380.296,945
380.789,904
381.282,990
381.775,945
382.267,940
382.760,989
383.253,928
383.745,985
384.237,975
384.730,919
385.222,936
385.714,934
386.205,993
386.697,925
387.189,961
387.680,957
388.172,1013
388.663,920
389.154,948
389.645,1009
390.136,988
390.627,981
391.118,984
391.608,994
392.099,956
392.589,978
393.080,1019
393.570,956
394.060,1009
394.550,998
395.040,957
395.529,998
396.019,1033
396.508,971
396.998,973
397.487,1049
397.976,968
398.465,966
398.954,957
399.443,986
399.931,997
400.420,1009
400.908,1002
