wavelength_nm,counts
218.821,869
219.350,869
219.878,1293
220.407,842
220.935,910
221.463,909
221.991,882
222.519,907
223.047,875
223.574,899
224.102,951
224.630,897
225.157,885
225.684,951
226.211,886
226.738,911
227.265,949
227.792,975
228.319,938
228.845,975
229.372,961
229.898,1002
230.425,935
230.951,960
231.477,954
232.003,952
232.529,981
233.054,938
233.580,918
234.105,929
234.631,965
235.156,1055
235.681,1058
236.206,957
236.731,933
237.256,947
237.781,922
238.305,1019
238.830,918
239.354,939
239.879,1010
240.403,909
240.927,950
241.451,952
241.975,947
242.498,973
243.022,986
243.545,976
244.069,962
244.592,948
245.115,1017
245.638,921
246.161,978
246.684,949
247.207,955
247.729,933
248.252,968
248.774,939
249.296,942
249.819,949
250.341,950
250.863,895
251.384,932
251.906,1023
252.428,928
252.949,950
253.471,950
253.992,944
254.513,959
255.034,953
255.555,921
256.076,924
256.597,914
257.117,958
257.638,930
258.158,896
258.678,917
259.198,958
259.718,940
260.238,937
260.758,976
261.278,938
261.798,979
262.317,984
262.836,937
263.356,940
263.875,988
264.394,935
264.913,945
265.432,971
265.950,916
266.469,929
266.987,952
267.506,889
268.024,914
268.542,878
269.060,933
269.578,939
270.096,974
270.614,1006
271.131,957
271.649,929
272.166,964
272.683,913
273.200,883
273.717,894
274.234,966
274.751,965
275.268,963
275.784,913
276.301,941
276.817,934
277.334,971
277.850,974
278.366,972
278.882,894
279.397,909
279.913,984
280.429,967
280.944,920
281.460,928
281.975,933
282.490,945
283.005,915
283.520,982
284.035,935
284.549,1010
285.064,940
285.578,933
286.093,947
286.607,929
287.121,905
287.635,969
288.149,922
288.663,922
289.176,963
289.690,932
290.203,970
290.717,941
291.230,940
291.743,974
292.256,920
292.769,932
293.282,928
293.794,946
294.307,914
294.819,946
295.332,1007
295.844,973
296.356,928
296.868,951
297.380,967
297.892,917
298.403,912
298.915,956
299.426,952
299.938,928
300.449,907
300.960,916
301.471,986
301.982,958
302.492,900
303.003,939
303.514,923
304.024,988
304.534,946
305.045,927
305.555,980
306.065,972
306.575,939
307.084,895
307.594,986
308.103,940
308.613,920
309.122,946
309.631,975
310.140,946
310.649,907
311.158,956
311.667,977
312.176,911
312.684,974
313.192,927
313.701,937
314.209,887
314.717,926
315.225,904
315.733,930
316.240,936
316.748,917
317.256,978
317.763,918
318.270,893
318.777,943
319.284,928
319.791,931
320.298,922
320.805,923
321.311,928
321.818,932
322.324,972
322.831,977
323.337,946
323.843,909
324.349,940
324.854,903
325.360,947
325.866,932
326.371,944
326.877,979
327.382,994
327.887,901
328.392,971
328.897,942
329.402,912
329.906,932
330.411,922
330.915,919
331.420,899
331.924,981
332.428,922
332.932,871
