wavelength_nm,counts
218.821,932
219.350,932
219.878,1310
220.407,900
220.935,883
221.463,862
221.991,864
222.519,911
223.047,880
223.574,877
224.102,896
224.630,880
225.157,913
225.684,897
226.211,864
226.738,884
227.265,935
227.792,975
228.319,938
228.845,959
229.372,915
229.898,913
230.425,905
230.951,948
231.477,952
232.003,941
232.529,903
233.054,962
233.580,922
234.105,991
234.631,973
235.156,983
235.681,1011
236.206,937
236.731,936
237.256,942
237.781,887
238.305,984
238.830,911
239.354,977
239.879,981
240.403,903
240.927,946
241.451,935
241.975,927
242.498,973
243.022,914
243.545,894
244.069,939
244.592,968
245.115,948
245.638,921
246.161,947
246.684,952
247.207,944
247.729,931
248.252,923
248.774,926
249.296,948
249.819,924
250.341,925
250.863,906
251.384,883
251.906,927
252.428,968
252.949,947
253.471,918
253.992,937
254.513,953
255.034,935
255.555,943
256.076,963
256.597,914
257.117,938
257.638,923
258.158,946
258.678,901
259.198,975
259.718,919
260.238,969
260.758,918
261.278,893
261.798,893
262.317,980
262.836,926
263.356,975
263.875,905
264.394,913
264.913,961
265.432,938
265.950,870
266.469,948
266.987,935
267.506,878
268.024,943
268.542,951
269.060,895
269.578,908
270.096,892
270.614,941
271.131,932
271.649,919
272.166,929
272.683,920
273.200,920
273.717,925
274.234,932
274.751,946
275.268,989
275.784,926
276.301,931
276.817,939
277.334,879
277.850,959
278.366,929
278.882,944
279.397,895
279.913,956
280.429,954
280.944,954
281.460,899
281.975,943
282.490,907
283.005,947
283.520,950
284.035,952
284.549,1023
285.064,907
285.578,917
286.093,931
286.607,888
287.121,894
287.635,913
288.149,901
288.663,905
289.176,859
289.690,955
290.203,926
290.717,944
291.230,906
291.743,868
292.256,940
292.769,923
293.282,904
293.794,975
294.307,916
294.819,909
295.332,924
295.844,917
296.356,981
296.868,960
297.380,890
297.892,903
298.403,932
298.915,907
299.426,899
299.938,970
300.449,893
300.960,921
301.471,929
301.982,911
302.492,962
303.003,968
303.514,948
304.024,928
304.534,930
305.045,934
305.555,927
306.065,882
306.575,929
307.084,919
307.594,915
308.103,913
308.613,914
309.122,892
309.631,901
310.140,936
310.649,923
311.158,900
311.667,941
312.176,937
312.684,932
313.192,932
313.701,947
314.209,968
314.717,899
315.225,936
315.733,939
316.240,980
316.748,905
317.256,917
317.763,929
318.270,934
318.777,899
319.284,905
319.791,918
320.298,916
320.805,921
321.311,960
321.818,908
322.324,940
322.831,953
323.337,907
323.843,889
324.349,960
324.854,918
325.360,942
325.866,951
326.371,947
326.877,936
327.382,956
327.887,931
328.392,890
328.897,926
329.402,896
329.906,914
