wavelength_nm,counts
218.821,902
219.350,902
219.878,1294
220.407,885
220.935,894
221.463,828
221.991,877
222.519,972
223.047,940
223.574,937
224.102,888
224.630,918
225.157,886
225.684,897
226.211,889
226.738,892
227.265,981
227.792,965
228.319,951
228.845,957
229.372,906
229.898,956
230.425,907
230.951,953
231.477,963
232.003,930
232.529,961
233.054,999
233.580,943
234.105,999
234.631,950
235.156,1031
235.681,1035
236.206,951
236.731,969
237.256,913
237.781,967
238.305,1020
238.830,950
239.354,986
239.879,1015
240.403,952
240.927,907
241.451,940
241.975,985
242.498,982
243.022,1065
243.545,965
244.069,959
244.592,1014
245.115,981
245.638,925
246.161,990
246.684,1043
247.207,927
247.729,981
248.252,965
248.774,980
249.296,976
249.819,1001
250.341,957
250.863,1015
251.384,948
251.906,1068
252.428,957
252.949,1052
253.471,963
253.992,963
254.513,1008
255.034,975
255.555,971
256.076,1006
256.597,968
257.117,1003
257.638,1002
258.158,973
258.678,961
259.198,1011
259.718,1043
260.238,936
260.758,962
261.278,995
261.798,989
262.317,932
262.836,967
263.356,927
263.875,977
264.394,1017
264.913,942
265.432,972
265.950,986
266.469,950
266.987,977
267.506,978
268.024,1009
268.542,978
269.060,1003
269.578,966
270.096,1019
270.614,988
271.131,961
271.649,975
272.166,976
272.683,992
273.200,947
273.717,945
274.234,962
274.751,986
275.268,1015
275.784,947
276.301,949
276.817,1001
277.334,973
277.850,999
278.366,996
278.882,936
279.397,924
279.913,981
280.429,973
280.944,993
281.460,970
281.975,976
282.490,967
283.005,986
283.520,989
284.035,991
284.549,1062
285.064,935
285.578,1029
286.093,959
286.607,909
287.121,923
287.635,993
288.149,944
288.663,964
289.176,965
289.690,949
290.203,995
290.717,1003
291.230,942
291.743,995
292.256,1031
292.769,1007
293.282,990
293.794,983
294.307,1033
294.819,1038
295.332,1007
295.844,963
296.356,964
296.868,963
297.380,974
297.892,966
298.403,992
298.915,950
299.426,963
299.938,996
300.449,968
300.960,943
301.471,1002
301.982,985
302.492,944
303.003,989
303.514,1034
304.024,1014
304.534,962
305.045,984
305.555,974
306.065,1017
306.575,999
307.084,969
307.594,981
308.103,958
308.613,968
309.122,979
309.631,998
310.140,998
310.649,1012
311.158,1023
311.667,960
312.176,933
312.684,1003
313.192,987
313.701,1052
314.209,982
314.717,994
315.225,930
315.733,988
316.240,1001
316.748,970
317.256,992
317.763,912
318.270,921
318.777,955
319.284,988
319.791,980
320.298,967
320.805,1007
321.311,982
321.818,952
322.324,980
322.831,1030
323.337,965
323.843,1016
324.349,1004
324.854,951
325.360,1014
325.866,1001
326.371,1007
326.877,1021
327.382,1036
327.887,973
328.392,996
328.897,969
329.402,966
329.906,957
330.411,1018
330.915,909
331.420,960
331.924,958
332.428,947
332.932,955
333.436,987
333.940,942
334.443,956
334.947,944
335.450,991
335.954,987
336.457,962
336.960,1037
337.463,967
337.966,998
338.469,972
338.971,1010
339.474,952
339.976,1018
340.478,964
340.981,960
341.483,1000
341.985,1004
342.486,1037
342.988,984
343.490,971
343.991,980
344.493,1007
344.994,976
345.495,997
345.996,993
346.497,1324
346.998,1000
347.499,960
347.999,963
348.500,965
349.000,1027
349.501,1068
350.001,991
350.501,954
351.001,997
351.500,982
352.000,1021
352.500,1033
352.999,922
353.499,955
353.998,949
354.497,954
354.996,941
355.495,972
355.994,945
356.492,919
356.991,957
357.489,1035
357.988,979
358.486,998
358.984,977
359.482,988
359.980,959
360.478,945
360.975,1013
361.473,979
361.970,999
362.468,1005
362.965,986
363.462,1012
363.959,1027
364.456,1057
364.953,976
365.449,996
365.946,1034
366.442,997
366.939,1009
367.435,949
367.931,995
368.427,1025
368.923,979
369.418,1031
