wavelength_nm,counts
218.821,904
219.350,904
219.878,1337
220.407,894
220.935,889
221.463,930
221.991,862
222.519,902
223.047,904
223.574,936
224.102,860
224.630,934
225.157,913
225.684,943
226.211,948
226.738,849
227.265,931
227.792,994
228.319,936
228.845,899
229.372,947
229.898,920
230.425,904
230.951,941
231.477,964
232.003,948
232.529,935
233.054,925
233.580,943
234.105,960
234.631,928
235.156,981
235.681,1016
236.206,974
236.731,875
237.256,924
237.781,965
238.305,1036
238.830,954
239.354,992
239.879,1017
240.403,1037
240.927,973
241.451,982
241.975,949
242.498,972
243.022,979
243.545,1008
244.069,945
244.592,991
245.115,934
245.638,970
246.161,918
246.684,1022
247.207,995
247.729,1032
248.252,930
248.774,951
249.296,934
249.819,1009
250.341,992
250.863,951
251.384,938
251.906,991
252.428,976
252.949,990
253.471,966
253.992,963
254.513,947
255.034,969
255.555,935
256.076,947
256.597,986
257.117,945
257.638,981
258.158,980
258.678,952
259.198,967
259.718,930
260.238,940
260.758,1026
261.278,970
261.798,999
262.317,993
262.836,936
263.356,965
263.875,918
264.394,964
264.913,968
265.432,925
265.950,948
266.469,1008
266.987,977
267.506,948
268.024,1016
268.542,936
269.060,1023
269.578,946
270.096,957
270.614,989
271.131,1030
271.649,992
272.166,965
272.683,929
273.200,969
273.717,968
274.234,979
274.751,936
275.268,970
275.784,943
276.301,941
276.817,976
277.334,987
277.850,964
278.366,945
278.882,980
279.397,942
279.913,979
280.429,983
280.944,981
281.460,937
281.975,938
282.490,940
283.005,1009
283.520,1007
284.035,965
284.549,995
285.064,966
285.578,928
286.093,996
286.607,942
287.121,959
287.635,999
288.149,945
288.663,954
289.176,960
289.690,961
290.203,951
290.717,937
291.230,928
291.743,976
292.256,953
292.769,1017
293.282,974
293.794,980
294.307,988
294.819,994
295.332,1004
295.844,974
296.356,997
296.868,985
297.380,963
297.892,986
298.403,938
298.915,894
299.426,980
299.938,968
300.449,972
300.960,978
301.471,980
301.982,960
302.492,947
303.003,990
303.514,988
304.024,952
304.534,998
305.045,1012
305.555,983
306.065,965
306.575,982
307.084,998
307.594,957
308.103,949
308.613,965
309.122,1001
309.631,997
310.140,984
310.649,939
311.158,915
311.667,968
312.176,1003
312.684,948
313.192,974
313.701,959
314.209,989
314.717,971
315.225,986
315.733,980
316.240,983
316.748,959
317.256,931
317.763,973
318.270,953
318.777,968
319.284,942
319.791,979
320.298,926
320.805,983
321.311,941
321.818,938
322.324,928
322.831,1037
323.337,968
323.843,979
324.349,1012
324.854,928
325.360,995
325.866,1035
326.371,942
326.877,978
327.382,1029
327.887,950
328.392,939
328.897,1011
329.402,998
329.906,972
330.411,974
330.915,1022
331.420,993
331.924,992
332.428,996
332.932,990
333.436,972
333.940,947
334.443,966
334.947,949
335.450,955
335.954,968
336.457,988
336.960,1011
337.463,987
337.966,968
338.469,957
338.971,1035
339.474,1003
339.976,1013
340.478,977
340.981,995
341.483,963
341.985,948
342.486,1005
342.988,986
343.490,984
343.991,1013
344.493,1016
344.994,1008
345.495,977
345.996,928
346.497,1249
346.998,1015
347.499,972
347.999,974
348.500,980
349.000,1047
349.501,1008
350.001,962
350.501,968
351.001,1008
351.500,970
352.000,980
352.500,965
352.999,987
353.499,954
353.998,958
354.497,965
354.996,958
355.495,1036
355.994,998
356.492,963
356.991,985
357.489,953
357.988,1009
358.486,957
358.984,944
359.482,962
359.980,966
360.478,966
360.975,1003
361.473,983
361.970,1034
362.468,1003
362.965,997
363.462,959
363.959,949
364.456,1018
364.953,901
365.449,981
365.946,954
366.442,1001
366.939,1045
367.435,1035
367.931,965
368.427,1005
368.923,988
369.418,1038
369.914,988
370.409,1008
370.905,970
371.400,977
371.895,986
372.390,1021
372.885,1051
373.380,1026
373.875,987
374.369,1091
374.864,1039
375.358,1072
375.852,1047
376.347,1046
376.841,1074
377.335,988
377.828,1032
378.322,998
378.816,1059
379.309,1070
379.802,1069
380.296,1038
380.789,1020
381.282,1049
381.775,1085
382.267,1023
382.760,1122
383.253,1041
383.745,1055
384.237,1062
384.730,1113
385.222,1178
385.714,1083
386.205,1171
386.697,1118
387.189,1150
387.680,1112
388.172,1194
388.663,1123
389.154,1152
389.645,1127
390.136,1162
390.627,1154
391.118,1232
391.608,1226
392.099,1226
392.589,1193
393.080,1232
393.570,1190
394.060,1207
394.550,1280
395.040,1224
395.529,1222
396.019,1316
396.508,1303
396.998,1269
397.487,1298
397.976,1277
398.465,1339
398.954,1327
399.443,1332
399.931,1336
400.420,1381
400.908,1397
401.397,1365
401.885,1380
402.373,1345
402.861,1411
403.349,1467
403.837,1455
404.324,1423
404.812,1514
405.299,1498
405.786,1523
406.274,1608
406.761,1540
407.248,1570
407.734,1552
408.221,1507
408.708,1570
409.194,1593
409.681,1611
410.167,1673
410.653,1642
411.139,1722
411.625,1613
412.111,1672
412.597,1677
413.082,1751
413.568,1760
414.053,1743
414.538,1779
415.023,1798
415.508,1831
415.993,1898
416.478,1911
416.963,1931
417.447,1942
417.932,1910
418.416,1963
418.900,1978
419.384,1937
419.868,1991
420.352,2011
420.836,1978
421.319,2020
421.803,2043
422.286,2109
422.770,2009
423.253,2077
423.736,2097
424.219,2201
424.702,2188
425.184,2185
425.667,2213
426.149,2226
426.632,2235
427.114,2335
427.596,2285
428.078,2428
428.560,2381
429.042,2374
429.524,2379
430.005,2366
430.487,2391
430.968,2451
431.449,2455
431.930,2489
432.411,2497
432.892,2562
433.373,2529
433.854,2553
434.334,2614
434.814,2501
435.295,2541
435.775,2555
436.255,2674
436.735,2663
437.215,2752
437.695,2728
438.174,2736
438.654,2741
439.133,2901
439.612,2810
440.091,2908
440.571,2854
441.049,2938
441.528,2974
442.007,2868
442.486,2985
442.964,2958
443.442,2993
443.921,3109
444.399,3136
444.877,3070
445.355,3142
445.832,3144
446.310,3179
446.788,3248
447.265,3162
447.742,3268
448.219,3334
448.697,3254
449.173,3401
449.650,3416
450.127,3434
450.604,3475
451.080,3569
451.557,3434
452.033,3501
452.509,3598
452.985,3680
453.461,3645
453.937,3665
454.412,3726
454.888,3694
455.363,3683
455.839,3722
456.314,3743
456.789,3897
457.264,3767
457.739,3903
458.214,3915
458.689,3994
459.163,4072
459.637,3999
460.112,4063
460.586,3991
461.060,4148
461.534,4155
462.008,4168
462.482,4272
462.955,4166
463.429,4213
463.902,4243
464.375,4368
464.849,4435
465.322,4521
465.794,4573
466.267,4480
466.740,4528
467.213,4573
467.685,4567
468.157,4752
468.630,4857
469.102,4844
469.574,4864
470.046,5000
470.517,5112
470.989,5154
471.461,5204
471.932,5197
472.403,5299
472.874,5311
473.346,5368
473.816,5551
474.287,5583
474.758,5817
475.229,5827
475.699,5760
476.170,6021
476.640,6226
477.110,6218
477.580,6237
478.050,6503
478.520,6479
478.989,6584
479.459,6642
479.928,6951
480.398,6897
480.867,7016
481.336,7105
481.805,7415
482.274,7470
482.743,7598
483.211,7561
483.680,7794
484.148,7709
484.617,8061
485.085,8230
485.553,8198
486.021,8364
486.489,8379
486.956,8485
487.424,8710
487.891,8911
488.359,8964
488.826,8976
489.293,9151
489.760,9260
490.227,9283
490.694,9382
491.160,9458
491.627,9645
492.093,9705
492.560,9828
493.026,9824
493.492,10042
493.958,10077
494.424,10060
494.890,10221
495.355,10367
495.821,10482
496.286,10437
496.751,10708
497.216,10680
497.682,10684
498.146,10890
498.611,10919
499.076,11122
499.541,10864
500.005,11179
500.469,11078
500.934,11533
501.398,11253
501.862,11426
502.326,11565
502.789,11592
503.253,11693
503.716,11696
504.180,11921
504.643,11838
505.106,11953
505.569,12161
506.032,11980
506.495,12080
506.958,12181
507.420,12306
507.883,12352
508.345,12477
508.808,12584
509.270,12748
509.732,12821
510.194,13069
510.655,12898
511.117,12898
511.579,12991
512.040,13150
512.501,13066
512.963,13312
513.424,13308
513.885,13399
514.345,13376
514.806,13445
515.267,13809
515.727,13616
516.188,13762
516.648,14005
517.108,14140
517.568,14116
518.028,14394
518.488,14395
518.947,14361
519.407,14458
519.866,14699
