wavelength_nm,counts
218.821,929
219.350,929
219.878,1270
220.407,883
220.935,902
221.463,916
221.991,877
222.519,871
223.047,912
223.574,881
224.102,902
224.630,904
225.157,878
225.684,863
226.211,953
226.738,913
227.265,946
227.792,1056
228.319,1020
228.845,957
229.372,967
229.898,966
230.425,963
230.951,975
231.477,1022
232.003,941
232.529,1030
233.054,963
233.580,1012
234.105,1028
234.631,1002
235.156,1044
235.681,1035
236.206,988
236.731,975
237.256,969
237.781,951
238.305,1042
238.830,948
239.354,943
239.879,1002
240.403,966
240.927,946
241.451,934
241.975,949
242.498,1006
243.022,1018
243.545,951
244.069,1011
244.592,944
245.115,952
245.638,931
246.161,942
246.684,971
247.207,944
247.729,964
248.252,968
248.774,905
249.296,913
249.819,967
250.341,992
250.863,941
251.384,951
251.906,973
252.428,971
252.949,986
253.471,905
253.992,938
254.513,958
255.034,974
255.555,924
256.076,970
256.597,955
257.117,955
257.638,954
258.158,900
258.678,894
259.198,915
259.718,942
260.238,964
260.758,962
261.278,936
261.798,967
262.317,928
262.836,932
263.356,999
263.875,974
264.394,987
264.913,932
265.432,868
265.950,903
266.469,997
266.987,921
267.506,917
268.024,1007
268.542,941
269.060,933
269.578,944
270.096,961
270.614,952
271.131,947
271.649,916
272.166,936
272.683,944
273.200,940
273.717,911
274.234,980
274.751,998
275.268,969
275.784,965
276.301,873
276.817,920
277.334,955
277.850,979
278.366,962
278.882,921
279.397,939
279.913,944
280.429,952
280.944,930
281.460,962
281.975,951
282.490,943
283.005,952
283.520,962
284.035,908
284.549,1007
285.064,916
285.578,920
286.093,918
286.607,960
287.121,964
287.635,991
288.149,995
288.663,903
289.176,937
289.690,878
290.203,893
290.717,928
291.230,924
291.743,948
292.256,1006
292.769,970
293.282,906
293.794,930
294.307,958
294.819,906
295.332,980
295.844,993
296.356,933
296.868,969
297.380,949
297.892,983
298.403,922
298.915,976
299.426,909
299.938,920
300.449,931
300.960,900
301.471,931
301.982,956
302.492,906
303.003,970
303.514,957
304.024,983
304.534,929
305.045,1021
305.555,956
306.065,923
306.575,887
307.084,970
307.594,941
308.103,958
308.613,925
309.122,940
309.631,1047
310.140,951
310.649,878
311.158,917
311.667,980
312.176,945
312.684,900
313.192,868
313.701,965
314.209,941
314.717,978
315.225,888
315.733,941
316.240,899
316.748,938
317.256,930
317.763,917
318.270,928
318.777,935
319.284,918
319.791,955
320.298,935
320.805,966
321.311,920
321.818,931
322.324,904
322.831,992
323.337,952
323.843,939
324.349,966
324.854,903
325.360,888
325.866,897
326.371,939
326.877,967
327.382,998
327.887,931
328.392,969
328.897,893
329.402,926
329.906,925
330.411,919
330.915,950
331.420,973
331.924,936
332.428,994
332.932,962
333.436,924
333.940,933
334.443,962
334.947,948
335.450,939
335.954,923
336.457,942
336.960,916
337.463,946
337.966,929
338.469,934
338.971,1029
339.474,954
339.976,1003
340.478,966
340.981,956
341.483,907
341.985,872
342.486,934
342.988,931
343.490,966
343.991,986
344.493,912
344.994,926
345.495,958
345.996,939
346.497,1383
346.998,945
347.499,894
347.999,980
348.500,893
349.000,957
349.501,1007
350.001,901
350.501,926
351.001,936
351.500,952
352.000,924
352.500,922
352.999,938
353.499,939
353.998,934
354.497,869
354.996,929
355.495,929
355.994,932
356.492,958
356.991,971
357.489,990
357.988,957
358.486,870
358.984,939
359.482,1001
359.980,904
360.478,971
360.975,968
361.473,914
361.970,986
362.468,915
362.965,915
363.462,990
363.959,972
364.456,921
364.953,876
365.449,890
365.946,953
366.442,950
366.939,952
367.435,903
367.931,931
368.427,929
368.923,924
369.418,927
369.914,935
370.409,938
370.905,937
371.400,973
371.895,959
372.390,944
372.885,936
373.380,922
373.875,939
374.369,1095
374.864,982
375.358,948
375.852,960
376.347,925
376.841,919
377.335,949
377.828,980
378.322,935
378.816,963
379.309,960
379.802,913
380.296,1009
380.789,942
381.282,972
381.775,968
382.267,935
382.760,957
383.253,918
383.745,1005
384.237,963
384.730,989
385.222,887
385.714,945
386.205,962
386.697,971
387.189,953
387.680,940
388.172,1010
388.663,979
389.154,953
389.645,986
390.136,916
390.627,969
391.118,947
391.608,976
392.099,939
392.589,964
393.080,942
393.570,923
394.060,953
394.550,917
395.040,987
395.529,955
396.019,958
396.508,1036
396.998,1036
397.487,1003
397.976,975
398.465,1005
398.954,960
399.443,959
399.931,950
400.420,1017
400.908,1038
401.397,972
401.885,998
402.373,996
402.861,1005
403.349,1003
403.837,1009
404.324,1020
404.812,996
405.299,1016
405.786,949
406.274,1076
406.761,962
407.248,1029
407.734,972
408.221,991
408.708,1025
409.194,996
409.681,1030
410.167,1043
410.653,1018
411.139,1086
411.625,1043
412.111,1040
412.597,1049
413.082,1075
413.568,1080
414.053,1115
414.538,1034
415.023,1102
415.508,1034
415.993,1102
416.478,1118
416.963,1089
417.447,1105
417.932,1069
418.416,1032
418.900,1061
419.384,1065
419.868,1082
420.352,1136
420.836,982
421.319,1057
421.803,1092
422.286,1035
422.770,1096
423.253,1093
423.736,1047
424.219,1098
424.702,1106
425.184,1119
425.667,1154
426.149,1066
426.632,1151
427.114,1136
427.596,1110
428.078,1181
428.560,1141
429.042,1115
429.524,1131
430.005,1138
430.487,1158
430.968,1073
431.449,1160
431.930,1160
432.411,1178
432.892,1101
433.373,1106
433.854,1143
434.334,1173
434.814,1155
435.295,1128
435.775,1192
436.255,1153
436.735,1198
437.215,1158
437.695,1155
438.174,1121
438.654,1160
439.133,1236
439.612,1204
440.091,1175
440.571,1166
441.049,1212
441.528,1176
442.007,1163
442.486,1227
442.964,1194
443.442,1199
443.921,1164
444.399,1284
444.877,1283
445.355,1193
445.832,1188
446.310,1247
446.788,1269
447.265,1262
447.742,1229
448.219,1245
448.697,1262
449.173,1294
449.650,1217
450.127,1274
450.604,1265
451.080,1317
451.557,1304
452.033,1222
452.509,1319
452.985,1293
453.461,1254
453.937,1277
454.412,1278
454.888,1303
455.363,1253
455.839,1305
456.314,1311
456.789,1282
457.264,1350
457.739,1281
458.214,1322
458.689,1397
459.163,1354
459.637,1356
460.112,1277
460.586,1306
461.060,1332
461.534,1348
462.008,1453
462.482,1321
462.955,1366
463.429,1339
463.902,1323
464.375,1331
464.849,1350
465.322,1454
465.794,1433
466.267,1310
466.740,1413
467.213,1398
467.685,1423
468.157,1417
468.630,1472
469.102,1384
469.574,1412
470.046,1462
470.517,1449
470.989,1410
471.461,1461
471.932,1443
472.403,1557
472.874,1502
473.346,1486
473.816,1561
474.287,1470
474.758,1554
475.229,1603
475.699,1581
476.170,1604
476.640,1627
477.110,1562
477.580,1604
478.050,1646
478.520,1624
478.989,1698
479.459,1760
479.928,1721
480.398,1648
480.867,1719
481.336,1726
481.805,1736
482.274,1784
482.743,1775
483.211,1746
483.680,1796
484.148,1816
484.617,1819
485.085,1849
485.553,1877
486.021,1840
486.489,1843
486.956,1898
487.424,1993
487.891,1957
488.359,1971
488.826,1978
489.293,1978
489.760,1957
490.227,1981
490.694,1977
491.160,1940
491.627,2068
492.093,2049
492.560,2012
493.026,2044
493.492,2096
493.958,2115
494.424,2134
494.890,2093
495.355,2144
495.821,2130
496.286,2132
496.751,2125
497.216,2205
497.682,2166
498.146,2233
498.611,2148
499.076,2169
499.541,2175
500.005,2151
500.469,2214
500.934,2263
501.398,2183
501.862,2247
502.326,2224
502.789,2259
503.253,2208
503.716,2276
504.180,2260
504.643,2267
505.106,2364
505.569,2276
506.032,2332
506.495,2362
506.958,2275
507.420,2366
507.883,2418
508.345,2329
508.808,2370
509.270,2422
509.732,2354
510.194,2430
510.655,2417
511.117,2377
511.579,2413
512.040,2336
512.501,2368
512.963,2435
513.424,2520
513.885,2456
514.345,2541
514.806,2533
515.267,2549
515.727,2518
516.188,2511
516.648,2642
517.108,2589
517.568,2556
518.028,2639
518.488,2536
518.947,2613
519.407,2605
519.866,2545
520.326,2613
520.785,2676
521.244,2651
521.703,2682
522.162,2664
522.621,2646
523.079,2658
523.538,2629
523.996,2705
524.455,2616
524.913,2679
525.371,2701
525.829,2678
526.286,2664
526.744,2728
527.202,2721
527.659,2707
528.117,2701
528.574,2776
529.031,2681
529.488,2754
529.945,2751
530.402,2745
530.858,2754
531.315,2793
531.771,2799
532.227,2774
532.684,2802
533.140,2834
533.596,2759
534.051,2831
534.507,2814
534.963,2762
535.418,2818
535.873,2805
536.329,2788
536.784,2786
537.239,2780
537.694,2861
538.148,2882
538.603,2844
539.058,2869
539.512,2843
539.966,2901
540.421,2820
540.875,2846
541.329,2865
541.782,2766
542.236,2828
542.690,2774
543.143,2913
543.597,2800
544.050,2895
544.503,2911
544.956,2941
545.409,2900
545.862,2904
546.314,2899
546.767,2919
547.219,2908
547.672,2956
548.124,2967
548.576,2901
549.028,2939
549.480,2978
549.931,2925
550.383,2940
550.834,2979
551.286,3068
551.737,2964
552.188,3050
552.639,2996
553.090,3031
553.541,3011
553.992,2996
554.442,3131
554.893,3116
555.343,3086
555.793,3026
556.243,3073
556.693,3166
557.143,3096
557.593,3121
558.042,3077
558.492,3144
558.941,3060
559.390,3066
559.839,3181
560.288,3087
560.737,3198
561.186,3170
561.635,3193
562.083,3239
562.532,3166
562.980,3207
563.428,3130
563.876,3236
564.324,3265
564.772,3227
565.220,3234
565.667,3265
566.115,3238
566.562,3210
567.010,3213
567.457,3238
567.904,3193
568.351,3197
568.797,3293
569.244,3273
569.691,3267
570.137,3205
570.583,3172
571.030,3158
571.476,3335
571.922,3204
572.367,3261
572.813,3229
573.259,3249
573.704,3260
574.150,3272
574.595,3195
575.040,3197
575.485,3268
575.930,3240
576.375,3180
576.819,3341
577.264,3261
577.708,3288
578.153,3268
578.597,3202
579.041,3160
579.485,3201
579.929,3267
580.372,3276
580.816,3277
581.259,3195
581.703,3244
582.146,3160
582.589,3270
583.032,3214
583.475,3276
583.918,3313
584.360,3172
584.803,3330
585.245,3257
585.688,3243
586.130,3257
586.572,3187
587.014,3230
587.456,3215
587.897,3312
588.339,3248
588.780,3211
589.222,3254
589.663,3228
590.104,3234
590.545,3348
