wavelength_nm,counts
218.821,892
219.350,892
219.878,1221
220.407,881
220.935,860
221.463,862
221.991,870
222.519,893
223.047,898
223.574,894
224.102,931
224.630,905
225.157,912
225.684,915
226.211,864
226.738,892
227.265,991
227.792,1002
228.319,971
228.845,958
229.372,931
229.898,935
230.425,975
230.951,971
231.477,966
232.003,938
232.529,1013
233.054,936
233.580,991
234.105,1028
234.631,957
235.156,1013
235.681,1054
236.206,987
236.731,993
237.256,973
237.781,947
238.305,988
238.830,924
239.354,927
239.879,966
240.403,903
240.927,923
241.451,997
241.975,976
242.498,963
243.022,987
243.545,924
244.069,983
244.592,939
245.115,957
245.638,958
246.161,969
246.684,1015
247.207,938
247.729,1009
248.252,946
248.774,966
249.296,878
249.819,916
250.341,925
250.863,918
251.384,935
251.906,990
252.428,933
252.949,981
253.471,981
253.992,978
254.513,981
255.034,935
255.555,893
256.076,950
256.597,960
257.117,967
257.638,937
258.158,960
258.678,969
259.198,942
259.718,955
260.238,1005
260.758,970
261.278,971
261.798,969
262.317,977
262.836,957
263.356,926
263.875,948
264.394,947
264.913,996
265.432,888
265.950,870
266.469,951
266.987,905
267.506,948
268.024,1008
268.542,913
269.060,992
269.578,962
270.096,956
270.614,947
271.131,933
271.649,961
272.166,933
272.683,947
273.200,937
273.717,925
274.234,961
274.751,922
275.268,963
275.784,946
276.301,921
276.817,975
277.334,979
277.850,979
278.366,995
278.882,976
279.397,913
279.913,909
280.429,953
280.944,933
281.460,881
281.975,932
282.490,956
283.005,983
283.520,1016
284.035,959
284.549,1053
285.064,944
285.578,943
286.093,932
286.607,930
287.121,934
287.635,961
288.149,907
288.663,943
289.176,960
289.690,932
290.203,966
290.717,935
291.230,934
291.743,939
292.256,911
292.769,937
293.282,937
293.794,917
294.307,958
294.819,912
295.332,957
295.844,924
296.356,972
296.868,953
297.380,924
297.892,915
298.403,930
298.915,938
299.426,915
299.938,975
300.449,896
300.960,900
301.471,923
301.982,967
302.492,958
303.003,991
303.514,995
304.024,1030
304.534,956
305.045,913
305.555,895
306.065,958
306.575,931
307.084,867
307.594,982
308.103,919
308.613,922
309.122,919
309.631,898
310.140,982
310.649,915
311.158,962
311.667,929
312.176,975
312.684,920
313.192,949
313.701,966
314.209,957
314.717,927
315.225,911
315.733,904
316.240,858
316.748,941
317.256,962
317.763,909
318.270,906
318.777,915
319.284,879
319.791,898
320.298,911
320.805,889
321.311,920
321.818,952
322.324,920
322.831,1008
323.337,1009
323.843,915
324.349,970
324.854,921
325.360,916
325.866,959
326.371,993
326.877,994
327.382,961
327.887,883
328.392,959
328.897,893
329.402,942
329.906,917
330.411,922
330.915,907
331.420,959
331.924,946
332.428,941
332.932,911
333.436,906
333.940,926
334.443,943
334.947,886
335.450,907
335.954,883
336.457,942
336.960,944
337.463,938
337.966,943
338.469,923
338.971,950
339.474,931
339.976,971
340.478,939
340.981,938
341.483,940
341.985,916
342.486,916
342.988,931
343.490,871
343.991,932
344.493,942
344.994,941
345.495,877
345.996,949
346.497,1404
346.998,950
347.499,911
347.999,974
348.500,915
349.000,988
349.501,994
350.001,898
350.501,980
351.001,930
351.500,881
352.000,907
352.500,910
352.999,930
353.499,911
353.998,889
354.497,917
354.996,951
355.495,938
355.994,916
356.492,932
356.991,978
357.489,952
357.988,910
358.486,862
358.984,918
359.482,972
359.980,921
360.478,914
360.975,887
361.473,908
361.970,949
362.468,920
362.965,872
363.462,887
363.959,939
364.456,1003
364.953,892
365.449,894
365.946,977
366.442,912
366.939,944
367.435,886
367.931,955
368.427,953
368.923,920
369.418,892
369.914,922
370.409,928
370.905,896
371.400,898
371.895,891
372.390,952
372.885,927
373.380,920
373.875,893
374.369,1073
374.864,912
375.358,952
375.852,948
376.347,917
376.841,896
377.335,902
377.828,986
378.322,981
378.816,956
379.309,923
379.802,917
380.296,950
380.789,924
381.282,924
381.775,950
382.267,929
382.760,884
383.253,950
383.745,903
384.237,938
384.730,974
385.222,909
385.714,868
386.205,983
386.697,896
387.189,946
387.680,931
388.172,972
388.663,895
389.154,906
389.645,920
390.136,865
390.627,871
391.118,890
391.608,943
392.099,886
392.589,925
393.080,997
393.570,919
394.060,910
394.550,889
395.040,936
395.529,933
396.019,937
396.508,970
396.998,955
397.487,1008
397.976,932
398.465,882
398.954,911
399.443,916
399.931,984
400.420,939
400.908,918
401.397,968
401.885,908
402.373,916
402.861,916
403.349,895
403.837,857
404.324,963
404.812,943
405.299,879
405.786,921
406.274,981
406.761,949
407.248,910
407.734,903
408.221,876
408.708,969
409.194,969
409.681,875
410.167,959
410.653,942
411.139,923
411.625,934
412.111,943
412.597,899
413.082,877
413.568,953
414.053,981
414.538,907
415.023,973
415.508,932
415.993,1052
416.478,1014
416.963,933
417.447,998
417.932,926
418.416,943
418.900,934
419.384,950
419.868,926
420.352,918
420.836,866
421.319,943
421.803,956
422.286,914
422.770,908
423.253,943
423.736,939
424.219,916
424.702,946
425.184,926
425.667,928
426.149,922
426.632,985
427.114,933
427.596,949
428.078,1024
428.560,906
429.042,929
429.524,908
430.005,957
430.487,914
430.968,935
431.449,926
431.930,966
432.411,935
432.892,957
433.373,977
433.854,911
434.334,927
434.814,958
435.295,879
435.775,900
436.255,917
436.735,900
437.215,867
437.695,901
438.174,943
438.654,926
439.133,970
439.612,959
440.091,922
440.571,880
441.049,983
441.528,915
442.007,918
442.486,927
442.964,978
443.442,983
443.921,965
444.399,914
444.877,905
445.355,952
445.832,924
446.310,865
446.788,961
447.265,942
447.742,939
448.219,937
448.697,977
449.173,981
449.650,932
450.127,954
450.604,954
451.080,904
451.557,902
452.033,965
452.509,981
452.985,911
453.461,938
453.937,911
454.412,967
454.888,922
455.363,893
455.839,898
456.314,920
456.789,985
457.264,925
457.739,986
458.214,935
458.689,961
459.163,962
459.637,961
460.112,940
460.586,929
461.060,937
461.534,965
462.008,961
462.482,938
462.955,954
463.429,942
463.902,912
464.375,960
464.849,953
465.322,940
465.794,939
466.267,911
466.740,946
467.213,961
467.685,901
468.157,871
468.630,1012
469.102,932
469.574,893
470.046,934
470.517,946
470.989,919
471.461,928
471.932,928
472.403,968
472.874,947
473.346,945
473.816,893
474.287,916
474.758,983
475.229,984
475.699,958
476.170,952
476.640,986
477.110,943
477.580,910
478.050,1022
478.520,973
478.989,946
479.459,960
479.928,913
480.398,897
480.867,968
481.336,921
481.805,953
482.274,914
482.743,965
483.211,996
483.680,899
484.148,949
484.617,981
485.085,994
485.553,1011
486.021,910
486.489,901
486.956,993
487.424,966
487.891,967
488.359,940
488.826,960
489.293,963
489.760,883
490.227,902
490.694,930
491.160,993
491.627,912
492.093,936
492.560,898
493.026,971
493.492,957
493.958,961
494.424,953
494.890,948
495.355,956
495.821,973
496.286,926
496.751,944
497.216,950
497.682,915
498.146,957
498.611,901
499.076,978
499.541,946
500.005,949
500.469,923
500.934,1072
501.398,950
501.862,984
502.326,985
502.789,939
503.253,963
503.716,1034
504.180,971
504.643,941
505.106,947
505.569,938
506.032,968
506.495,979
506.958,945
507.420,952
507.883,993
508.345,950
508.808,933
509.270,934
509.732,941
510.194,997
510.655,955
511.117,926
511.579,1041
512.040,964
512.501,964
512.963,950
513.424,981
513.885,901
514.345,931
514.806,965
515.267,969
515.727,980
516.188,968
516.648,1001
517.108,976
517.568,915
518.028,1090
518.488,974
518.947,941
519.407,976
519.866,930
520.326,979
520.785,964
521.244,983
521.703,971
522.162,987
522.621,930
523.079,980
523.538,972
523.996,988
524.455,937
524.913,980
525.371,889
525.829,978
526.286,975
526.744,1007
527.202,923
527.659,960
528.117,964
528.574,951
529.031,982
529.488,979
529.945,940
530.402,949
530.858,979
531.315,1012
531.771,1005
532.227,963
532.684,971
533.140,1018
533.596,939
534.051,919
534.507,1016
534.963,960
535.418,919
535.873,981
536.329,993
536.784,972
537.239,1022
537.694,996
538.148,992
538.603,954
539.058,948
539.512,922
539.966,1064
540.421,941
540.875,975
541.329,958
541.782,973
542.236,960
542.690,944
543.143,935
543.597,970
544.050,1030
544.503,989
544.956,942
545.409,986
545.862,963
546.314,919
546.767,948
547.219,929
547.672,936
548.124,964
548.576,937
549.028,959
549.480,978
549.931,991
550.383,963
550.834,905
551.286,980
551.737,944
552.188,1000
552.639,924
553.090,968
553.541,970
553.992,955
554.442,1000
554.893,1011
555.343,1013
555.793,991
556.243,1011
556.693,941
557.143,947
557.593,972
558.042,973
558.492,1002
558.941,992
559.390,965
559.839,988
560.288,923
560.737,950
561.186,974
561.635,983
562.083,937
562.532,974
562.980,987
563.428,969
563.876,992
564.324,984
564.772,1020
565.220,956
565.667,1023
566.115,1064
566.562,958
567.010,974
567.457,991
567.904,1052
568.351,962
568.797,951
569.244,970
569.691,948
570.137,965
570.583,993
571.030,997
571.476,971
571.922,1024
572.367,988
572.813,962
573.259,1014
573.704,940
574.150,959
574.595,1078
575.040,994
575.485,1001
575.930,1031
576.375,956
576.819,1059
577.264,951
577.708,930
578.153,994
578.597,997
579.041,961
579.485,1006
579.929,1009
580.372,979
580.816,919
581.259,930
581.703,959
582.146,953
582.589,1003
583.032,901
583.475,986
583.918,928
584.360,981
584.803,1057
585.245,1032
585.688,972
586.130,978
586.572,1003
587.014,966
587.456,974
587.897,1018
588.339,973
588.780,944
589.222,973
589.663,1046
590.104,969
590.545,966
590.986,942
591.427,989
591.867,976
592.308,911
592.748,997
593.189,973
593.629,946
594.069,1091
594.509,1028
594.949,976
595.388,1006
595.828,1002
596.267,1000
596.707,983
597.146,1025
597.585,1006
598.024,997
598.463,968
598.902,1014
599.340,1016
599.779,993
600.217,996
600.655,984
601.093,1001
601.532,971
601.969,976
602.407,994
602.845,966
603.282,990
603.720,997
604.157,1069
604.594,965
605.032,1033
605.468,994
605.905,917
606.342,1005
606.779,1010
607.215,956
607.652,937
608.088,969
608.524,973
608.960,982
609.396,928
609.832,997
610.267,1019
610.703,1034
611.138,953
611.574,935
612.009,982
612.444,956
612.879,1022
613.314,951
613.748,1029
614.183,949
614.617,961
615.052,975
615.486,986
615.920,1026
616.354,952
616.788,956
617.222,984
617.655,1027
618.089,960
618.522,983
618.956,990
619.389,1028
619.822,973
620.255,965
620.688,999
621.120,926
621.553,953
621.985,983
622.418,972
622.850,1002
623.282,989
623.714,998
624.146,982
624.577,950
625.009,977
625.441,995
625.872,999
626.303,1066
626.734,1028
627.165,997
627.596,1122
628.027,961
628.458,968
628.888,984
629.319,1056
629.749,977
630.179,991
630.609,995
631.039,1006
631.469,1046
631.899,1036
632.328,905
632.758,1013
633.187,994
633.616,963
634.046,947
634.475,957
634.903,981
635.332,971
635.761,950
636.189,1010
636.618,951
637.046,1009
637.474,1023
637.902,1016
638.330,989
638.758,1046
639.186,964
639.613,982
640.041,962
640.468,990
640.895,1003
641.322,944
641.749,999
642.176,995
642.603,1006
643.029,987
643.456,1024
643.882,987
644.308,1214
644.735,1007
645.161,993
645.586,957
646.012,932
646.438,947
646.863,995
647.289,964
647.714,987
648.139,929
648.564,979
648.989,979
649.414,943
649.839,944
650.263,1008
650.688,985
651.112,987
651.536,989
651.961,1043
652.384,979
652.808,932
653.232,1006
653.656,1006
654.079,1014
654.503,969
654.926,944
655.349,992
655.772,1013
656.195,943
656.618,935
657.040,1010
657.463,999
657.885,947
658.308,987
658.730,1003
659.152,953
659.574,1007
659.996,1077
660.417,972
660.839,940
661.260,981
661.682,930
662.103,984
662.524,941
662.945,1051
663.366,995
663.787,993
664.207,934
664.628,975
665.048,1037
665.468,1042
665.888,1056
666.308,954
666.728,942
667.148,950
667.568,970
667.987,963
668.407,1019
668.826,922
669.245,1052
669.664,959
670.083,1033
670.502,962
670.921,1016
671.339,1015
671.758,1052
672.176,972
672.594,997
673.012,1028
673.430,983
673.848,967
674.266,1050
674.684,999
675.101,984
675.519,993
675.936,974
676.353,952
676.770,994
677.187,966
677.604,956
678.020,943
678.437,998
678.853,1011
679.270,944
679.686,1000
680.102,1033
680.518,980
680.933,1012
681.349,986
681.765,973
682.180,953
682.596,1002
683.011,990
683.426,967
683.841,990
684.256,1036
684.670,1003
685.085,1021
685.499,985
685.914,995
686.328,967
686.742,955
687.156,946
687.570,1026
687.984,1009
688.398,958
688.811,945
689.224,993
689.638,970
690.051,968
690.464,973
690.877,1347
691.290,1067
691.702,1059
692.115,1001
692.527,980
692.940,1007
693.352,1065
693.764,1014
694.176,1016
694.588,987
694.999,1023
695.411,971
695.822,985
696.234,974
696.645,1032
697.056,927
697.467,925
697.878,980
698.289,1043
698.699,1020
699.110,1004
699.520,1029
699.931,1044
700.341,971
700.751,981
701.161,993
701.570,1012
701.980,971
702.390,1006
702.799,956
703.208,1020
703.617,986
704.027,996
704.435,1031
704.844,946
705.253,1018
705.662,1065
706.070,1007
706.478,982
706.887,991
707.295,1008
707.703,1029
708.110,968
708.518,1065
708.926,1085
709.333,976
709.741,1011
710.148,1045
710.555,985
710.962,999
711.369,960
711.776,946
712.182,976
712.589,987
712.995,974
713.401,954
713.808,985
714.214,998
714.619,1004
715.025,1050
715.431,1006
715.836,988
716.242,997
716.647,1024
717.052,961
717.457,1019
717.862,1046
718.267,1018
718.672,980
719.076,981
719.481,1021
719.885,1028
720.289,1029
720.694,1020
721.097,1035
721.501,998
721.905,1015
722.309,1043
722.712,1017
723.115,1010
723.519,1035
723.922,997
724.325,1033
724.728,1026
725.130,983
725.533,1027
725.936,1059
726.338,1035
726.740,1052
727.142,1041
727.544,983
727.946,994
728.348,1021
728.750,992
729.151,993
729.553,1051
729.954,1016
730.355,980
730.756,1020
731.157,1023
731.558,994
731.959,1081
732.359,1032
732.760,1072
733.160,1007
733.560,1044
733.960,1087
734.360,1160
734.760,1071
735.160,1023
735.559,1030
735.959,1000
736.358,985
736.757,1017
737.157,1053
737.555,1055
737.954,1007
738.353,990
738.752,971
739.150,1104
739.549,1031
739.947,1006
740.345,960
740.743,1016
741.141,1025
741.539,1038
741.936,1038
742.334,1104
742.731,1006
743.128,1055
743.526,1029
743.923,1042
744.320,1033
744.716,1046
745.113,1033
745.510,1056
745.906,1042
746.302,1063
746.698,1081
747.095,1058
747.490,979
747.886,1115
748.282,1031
748.678,1073
749.073,1033
749.468,1011
749.863,1013
750.259,1036
750.654,1053
751.048,1007
751.443,1065
751.838,1055
752.232,981
752.626,1073
753.021,1019
753.415,1008
