wavelength_nm,counts
218.821,854
219.350,854
219.878,1298
220.407,852
220.935,879
221.463,905
221.991,878
222.519,914
223.047,914
223.574,891
224.102,900
224.630,895
225.157,892
225.684,907
226.211,889
226.738,915
227.265,940
227.792,987
228.319,950
228.845,912
229.372,929
229.898,975
230.425,931
230.951,953
231.477,936
232.003,910
232.529,949
233.054,939
233.580,949
234.105,906
234.631,944
235.156,1013
235.681,1021
236.206,972
236.731,985
237.256,906
237.781,875
238.305,964
238.830,929
239.354,919
239.879,935
240.403,911
240.927,898
241.451,911
241.975,962
242.498,889
243.022,926
243.545,959
244.069,904
244.592,941
245.115,919
245.638,913
246.161,903
246.684,968
247.207,1023
247.729,926
248.252,983
248.774,941
249.296,912
249.819,939
250.341,919
250.863,913
251.384,876
251.906,974
252.428,934
252.949,962
253.471,900
253.992,925
254.513,916
255.034,936
255.555,945
256.076,945
256.597,912
257.117,952
257.638,946
258.158,934
258.678,951
259.198,965
259.718,927
260.238,931
260.758,947
261.278,930
261.798,949
262.317,940
262.836,927
263.356,943
263.875,933
264.394,962
264.913,929
265.432,913
265.950,922
266.469,928
266.987,947
267.506,918
268.024,982
268.542,925
269.060,938
269.578,912
270.096,947
270.614,968
271.131,922
271.649,895
272.166,932
272.683,932
273.200,922
273.717,930
274.234,984
274.751,873
275.268,937
275.784,944
276.301,900
276.817,935
277.334,924
277.850,935
278.366,930
278.882,873
279.397,893
279.913,906
280.429,920
280.944,899
281.460,909
281.975,934
282.490,927
283.005,903
283.520,946
284.035,912
284.549,1033
285.064,911
285.578,981
286.093,946
286.607,891
287.121,901
287.635,917
288.149,913
288.663,949
289.176,892
289.690,939
290.203,934
290.717,925
291.230,861
291.743,930
292.256,910
292.769,896
293.282,917
293.794,949
294.307,975
294.819,895
295.332,998
295.844,910
296.356,901
296.868,905
297.380,920
297.892,933
298.403,942
298.915,899
299.426,934
299.938,972
300.449,888
300.960,917
301.471,954
301.982,873
302.492,893
303.003,923
303.514,854
304.024,960
304.534,948
305.045,862
305.555,910
306.065,934
306.575,893
307.084,926
307.594,944
308.103,941
308.613,971
309.122,939
309.631,965
310.140,946
310.649,869
311.158,861
311.667,963
312.176,953
312.684,983
313.192,982
313.701,943
314.209,875
314.717,921
315.225,924
315.733,917
316.240,935
316.748,904
317.256,942
317.763,897
318.270,902
318.777,958
319.284,944
319.791,916
320.298,953
320.805,951
321.311,925
321.818,913
322.324,909
322.831,973
323.337,984
323.843,893
324.349,923
324.854,909
325.360,897
325.866,958
326.371,931
326.877,965
327.382,941
327.887,907
328.392,940
328.897,957
329.402,927
329.906,927
330.411,865
330.915,859
331.420,894
331.924,928
332.428,882
332.932,957
